Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000063.000000,6615.000000,26137.000000,353082.000000,5842.000000,358924.000000,6264.000000
2000995.000000,4295.000000,29615.000000,330309.000000,4093.000000,693326.000000,4160.000000
3000646.000000,4338.000000,30005.000000,329714.000000,4152.000000,1027192.000000,4199.000000
4002259.000000,4352.000000,30590.000000,330226.000000,4240.000000,1361658.000000,4217.000000
5000308.000000,4306.000000,29896.000000,329289.000000,4124.000000,1695071.000000,4172.000000
6003523.000000,4326.000000,30035.000000,330930.000000,4157.000000,2030158.000000,4187.000000
7000495.000000,4267.000000,28907.000000,329096.000000,4004.000000,2363258.000000,4132.000000
8000140.000000,4296.000000,29165.000000,329857.000000,4045.000000,2697160.000000,4156.000000
9001759.000000,4287.000000,29246.000000,330579.000000,4059.000000,3031798.000000,4154.000000
10000135.000000,4285.000000,29123.000000,329506.000000,4031.000000,3365335.000000,4149.000000
11003023.000000,4319.000000,29808.000000,330863.000000,4146.000000,3700344.000000,4182.000000
12000058.000000,4304.000000,29723.000000,328858.000000,4139.000000,4033341.000000,4168.000000
13000028.000000,4299.000000,29070.000000,330084.000000,4030.000000,4367455.000000,4161.000000
14001253.000000,4337.000000,30666.000000,330141.000000,4232.000000,4701828.000000,4201.000000
15001292.000000,4333.000000,29929.000000,329898.000000,4137.000000,5035863.000000,4196.000000
16002517.000000,4327.000000,30197.000000,330199.000000,4187.000000,5370249.000000,4191.000000
17000225.000000,4312.000000,30064.000000,329138.000000,4159.000000,5703546.000000,4177.000000
18003787.000000,4327.000000,29976.000000,331075.000000,4135.000000,6038756.000000,4190.000000
19000753.000000,4303.000000,29684.000000,328917.000000,4104.000000,6371777.000000,4167.000000
20000398.000000,4309.000000,29401.000000,329862.000000,4077.000000,6705716.000000,4169.000000
21002017.000000,4350.000000,31209.000000,330160.000000,4301.000000,7040177.000000,4217.000000
22000060.000000,4297.000000,29694.000000,329318.000000,4106.000000,7373601.000000,4162.000000
23003281.000000,4350.000000,30543.000000,330824.000000,4217.000000,7708642.000000,4212.000000
24000247.000000,4310.000000,30219.000000,328837.000000,4181.000000,8041660.000000,4173.000000
25000286.000000,4340.000000,30379.000000,329806.000000,4184.000000,8375650.000000,4203.000000
26001511.000000,4289.000000,29462.000000,330441.000000,4069.000000,8710160.000000,4153.000000
27000014.000000,4289.000000,29091.000000,329515.000000,4035.000000,9043710.000000,4152.000000
28002790.000000,4297.000000,29651.000000,330917.000000,4089.000000,9378716.000000,4162.000000
29000483.000000,4295.000000,29540.000000,329161.000000,4088.000000,9711965.000000,4160.000000
30004045.000000,4314.000000,29616.000000,331149.000000,4087.000000,10047201.000000,4176.000000
31001011.000000,4300.000000,29487.000000,328927.000000,4085.000000,10380213.000000,4164.000000
32000656.000000,4309.000000,29657.000000,329852.000000,4096.000000,10714161.000000,4169.000000
33002344.000000,4277.000000,29116.000000,330610.000000,4035.000000,11048806.000000,4145.000000
