Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000172.000000,6652.000000,64250.000000,303823.000000,30266.000000,334089.000000,39.000000
2000108.000000,6652.000000,64909.000000,303144.000000,30168.000000,667401.000000,0.000000
3000044.000000,6644.000000,64864.000000,303169.000000,30144.000000,1000714.000000,0.000000
4000076.000000,6649.000000,64837.000000,303192.000000,30152.000000,1334058.000000,0.000000
5000108.000000,6645.000000,64820.000000,303215.000000,30128.000000,1667401.000000,0.000000
6000044.000000,6650.000000,64888.000000,303151.000000,30160.000000,2000712.000000,0.000000
7000364.000000,6654.000000,64882.000000,303281.000000,30160.000000,2334153.000000,0.000000
8000972.000000,6644.000000,64851.000000,303367.000000,30168.000000,2667688.000000,0.000000
9000620.000000,6649.000000,64826.000000,303081.000000,30136.000000,3000905.000000,0.000000
10000172.000000,6647.000000,64851.000000,303056.000000,30128.000000,3334089.000000,0.000000
11000108.000000,6648.000000,64824.000000,303160.000000,30152.000000,3667401.000000,0.000000
12000236.000000,6647.000000,64870.000000,303231.000000,30144.000000,4000776.000000,0.000000
13000460.000000,6652.000000,64882.000000,303249.000000,30160.000000,4334185.000000,0.000000
14000108.000000,6647.000000,64838.000000,303089.000000,30128.000000,4667402.000000,0.000000
15000140.000000,6647.000000,64858.000000,303183.000000,30160.000000,5000745.000000,0.000000
16000460.000000,6645.000000,64844.000000,303281.000000,30160.000000,5334186.000000,0.000000
17000108.000000,6654.000000,64962.000000,303072.000000,30144.000000,5667402.000000,0.000000
18000140.000000,6646.000000,64792.000000,303207.000000,30136.000000,6000745.000000,0.000000
19000268.000000,6650.000000,64881.000000,303207.000000,30168.000000,6334120.000000,0.000000
20000204.000000,6642.000000,64786.000000,303185.000000,30128.000000,6667433.000000,0.000000
21000332.000000,6652.000000,64890.000000,303224.000000,30152.000000,7000809.000000,0.000000
22000268.000000,6650.000000,64863.000000,303168.000000,30144.000000,7334121.000000,0.000000
23000492.000000,6648.000000,64917.000000,303248.000000,30160.000000,7667529.000000,0.000000
24000044.000000,6645.000000,64722.000000,303055.000000,30128.000000,8000712.000000,0.000000
25000172.000000,6651.000000,64958.000000,303210.000000,30168.000000,8334090.000000,0.000000
26000108.000000,6645.000000,64795.000000,303183.000000,30128.000000,8667401.000000,0.000000
27000044.000000,6652.000000,64913.000000,303144.000000,30168.000000,9000713.000000,0.000000
28000043.000000,6647.000000,64883.000000,303176.000000,30151.000000,9334040.000000,0.000000
29000012.000000,6646.000000,64811.000000,303185.000000,30145.000000,9667370.000000,0.000000
30000044.000000,6645.000000,64821.000000,303215.000000,30128.000000,10000713.000000,0.000000
