Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1002935.000000,1316.000000,5439.000000,367446.000000,3267.000000,370713.000000,40.000000
2001253.000000,1268.000000,5258.000000,365175.000000,2895.000000,738783.000000,20.000000
3001185.000000,1261.000000,5282.000000,365671.000000,2943.000000,1107397.000000,15.000000
4004567.000000,1270.000000,5160.000000,366859.000000,2997.000000,1477253.000000,18.000000
5001052.000000,1258.000000,5556.000000,364397.000000,2932.000000,1844582.000000,15.000000
6001099.000000,1269.000000,5023.000000,365749.000000,2941.000000,2213272.000000,22.000000
7000898.000000,1258.000000,5519.000000,366049.000000,2983.000000,2582304.000000,12.000000
8000206.000000,1188.000000,4655.000000,361549.000000,2771.000000,2946624.000000,8.000000
9001242.000000,1213.000000,4902.000000,360951.000000,2795.000000,3310370.000000,9.000000
10000383.000000,1176.000000,4821.000000,360289.000000,2756.000000,3673415.000000,11.000000
11006557.000000,874.000000,2773.000000,358794.000000,1665.000000,4033874.000000,73.000000
12011168.000000,242.000000,255.000000,355642.000000,439.000000,4389955.000000,130.000000
13008456.000000,197.000000,296.000000,353454.000000,272.000000,4743681.000000,42.000000
14012191.000000,165.000000,318.000000,355679.000000,263.000000,5099623.000000,14.000000
15007393.000000,162.000000,233.000000,353027.000000,241.000000,5452891.000000,5.000000
16006359.000000,183.000000,289.000000,358315.000000,302.000000,5811508.000000,2.000000
17003256.000000,170.000000,243.000000,353267.000000,229.000000,6165004.000000,7.000000
18011525.000000,160.000000,292.000000,357335.000000,250.000000,6522589.000000,2.000000
19006877.000000,167.000000,205.000000,352755.000000,255.000000,6875599.000000,0.000000
20010714.000000,170.000000,203.000000,360394.000000,260.000000,7236253.000000,1.000000
21003577.000000,174.000000,254.000000,350420.000000,354.000000,7587027.000000,2.000000
22013321.000000,178.000000,198.000000,357034.000000,308.000000,7944369.000000,0.000000
23026440.000000,179.000000,271.000000,357183.000000,285.000000,8301837.000000,5.000000
24012347.000000,168.000000,234.000000,347530.000000,348.000000,8649715.000000,1.000000
25004267.000000,172.000000,289.000000,349476.000000,350.000000,8999541.000000,1.000000
26023697.000000,185.000000,188.000000,359220.000000,359.000000,9359120.000000,1.000000
27003785.000000,176.000000,195.000000,345404.000000,288.000000,9704812.000000,3.000000
28010327.000000,175.000000,193.000000,355399.000000,253.000000,10060464.000000,2.000000
29002397.000000,176.000000,220.000000,350164.000000,281.000000,10410909.000000,1.000000
30005306.000000,174.000000,222.000000,354609.000000,304.000000,10765822.000000,0.000000
31014233.000000,196.000000,290.000000,354486.000000,420.000000,11120728.000000,5.000000
32019387.000000,188.000000,270.000000,355127.000000,443.000000,11476298.000000,13.000000
33003245.000000,192.000000,264.000000,346872.000000,460.000000,11823630.000000,6.000000
34012579.000000,213.000000,205.000000,356873.000000,396.000000,12180899.000000,9.000000
35006969.000000,176.000000,285.000000,352476.000000,239.000000,12533614.000000,15.000000
36004152.000000,166.000000,225.000000,352996.000000,236.000000,12886846.000000,8.000000
37021190.000000,165.000000,247.000000,361272.000000,252.000000,13248370.000000,6.000000
38002331.000000,172.000000,314.000000,345891.000000,290.000000,13594551.000000,1.000000
39006721.000000,177.000000,254.000000,355817.000000,234.000000,13950602.000000,9.000000
40035970.000000,157.000000,276.000000,364699.000000,248.000000,14315549.000000,0.000000
41027082.000000,161.000000,196.000000,351449.000000,247.000000,14667245.000000,1.000000
42003000.000000,163.000000,165.000000,339798.000000,238.000000,15007281.000000,0.000000
43001074.000000,164.000000,216.000000,353213.000000,297.000000,15360791.000000,0.000000
44011830.000000,182.000000,237.000000,357773.000000,342.000000,15718906.000000,3.000000
45008448.000000,181.000000,241.000000,353017.000000,323.000000,16072246.000000,2.000000
46000949.000000,184.000000,216.000000,350361.000000,312.000000,16422919.000000,13.000000
47010954.000000,185.000000,285.000000,356331.000000,320.000000,16779570.000000,8.000000
48032917.000000,181.000000,290.000000,362724.000000,393.000000,17142687.000000,9.000000
49004051.000000,176.000000,151.000000,346081.000000,288.000000,17489056.000000,5.000000
50000436.000000,172.000000,287.000000,353865.000000,296.000000,17843217.000000,2.000000
