Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1004098.000000,484.000000,442.000000,358426.000000,3822.000000,362248.000000,482.000000
3416543.000000,698.000000,631.000000,808816.000000,3445.000000,1174509.000000,698.000000
4002995.000000,587.000000,535.000000,196126.000000,1122.000000,1371757.000000,587.000000
6335138.000000,953.000000,868.000000,781595.000000,3523.000000,2156875.000000,953.000000
8079533.000000,24.000000,22.000000,585377.000000,2162.000000,2744414.000000,24.000000
9001828.000000,921.000000,843.000000,308481.000000,1764.000000,3054659.000000,921.000000
10000135.000000,1000.000000,910.000000,333864.000000,1910.000000,3390433.000000,1000.000000
12442908.000000,582.000000,528.000000,819107.000000,3410.000000,4212950.000000,582.000000
14040974.000000,25.000000,21.000000,536318.000000,1978.000000,4751246.000000,25.000000
15563417.000000,24.000000,24.000000,510929.000000,1888.000000,5264063.000000,24.000000
18246431.000000,1155.000000,1051.000000,899088.000000,4092.000000,6167243.000000,1155.000000
19910489.000000,25.000000,21.000000,558431.000000,2070.000000,6727744.000000,25.000000
21699841.000000,71.000000,67.000000,600434.000000,2254.000000,7330432.000000,71.000000
23216609.000000,26.000000,20.000000,508997.000000,1886.000000,7841315.000000,26.000000
24000983.000000,784.000000,714.000000,262343.000000,1498.000000,8105156.000000,784.000000
26031575.000000,543.000000,489.000000,680849.000000,2872.000000,8788877.000000,543.000000
27000218.000000,973.000000,882.000000,323924.000000,1855.000000,9114656.000000,972.000000
28846541.000000,354.000000,321.000000,619248.000000,2515.000000,9736419.000000,355.000000
30002324.000000,1157.000000,1050.000000,386548.000000,2207.000000,10125174.000000,1156.000000
31661507.000000,170.000000,153.000000,556620.000000,2163.000000,10683957.000000,171.000000
