Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1002956.000000,2496.000000,17472.000000,271685.000000,63343.000000,335028.000000,0.000000
2004428.000000,2608.000000,18256.000000,271232.000000,62592.000000,668852.000000,0.000000
3000044.000000,2500.000000,17493.000000,268879.000000,62992.000000,1000723.000000,0.000000
4001228.000000,2605.000000,18235.000000,271161.000000,62568.000000,1334452.000000,0.000000
5002700.000000,2513.000000,17584.000000,270472.000000,63352.000000,1668276.000000,0.000000
6004172.000000,2608.000000,18256.000000,271232.000000,62592.000000,2002100.000000,0.000000
7000076.000000,2503.000000,17514.000000,268951.000000,63016.000000,2334067.000000,0.000000
8000972.000000,2602.000000,18214.000000,271089.000000,62544.000000,2667700.000000,0.000000
9002444.000000,2513.000000,17584.000000,270472.000000,63352.000000,3001524.000000,0.000000
10003916.000000,2608.000000,18256.000000,271232.000000,62592.000000,3335348.000000,0.000000
11000017.000000,2505.000000,17528.000000,269000.000000,63032.000000,3667380.000000,0.000000
12000716.000000,2600.000000,18200.000000,271040.000000,62528.000000,4000948.000000,0.000000
13002188.000000,2513.000000,17584.000000,270472.000000,63352.000000,4334772.000000,0.000000
14003660.000000,2608.000000,18256.000000,271232.000000,62592.000000,4668596.000000,0.000000
15000049.000000,2603.000000,18221.000000,269832.000000,62296.000000,5000724.000000,0.000000
16000460.000000,2502.000000,17507.000000,270208.000000,63264.000000,5334196.000000,0.000000
17001932.000000,2608.000000,18256.000000,271232.000000,62592.000000,5668020.000000,0.000000
18003404.000000,2513.000000,17584.000000,270472.000000,63352.000000,6001844.000000,0.000000
19000081.000000,2606.000000,18242.000000,269904.000000,62320.000000,6334068.000000,0.000000
20000204.000000,2499.000000,17486.000000,270136.000000,63240.000000,6667444.000000,0.000000
21001676.000000,2608.000000,18256.000000,271232.000000,62592.000000,7001268.000000,0.000000
22003148.000000,2513.000000,17584.000000,270472.000000,63352.000000,7335092.000000,0.000000
23004620.000000,2608.000000,18256.000000,271232.000000,62592.000000,7668916.000000,0.000000
24000044.000000,2498.000000,17479.000000,268831.000000,62976.000000,8000723.000000,0.000000
25001420.000000,2607.000000,18249.000000,271209.000000,62584.000000,8334516.000000,0.000000
26002892.000000,2608.000000,18256.000000,271232.000000,62592.000000,8668340.000000,0.000000
27004364.000000,2513.000000,17584.000000,270472.000000,63352.000000,9002164.000000,0.000000
28000081.000000,2596.000000,18172.000000,269664.000000,62240.000000,9334068.000000,0.000000
29001164.000000,2509.000000,17556.000000,270376.000000,63320.000000,9667764.000000,0.000000
30002636.000000,2608.000000,18256.000000,271232.000000,62592.000000,10001588.000000,0.000000
31004108.000000,2513.000000,17584.000000,270472.000000,63352.000000,10335412.000000,0.000000
32000012.000000,2598.000000,18186.000000,269711.000000,62256.000000,10667379.000000,0.000000
33000908.000000,2507.000000,17542.000000,270329.000000,63304.000000,11001012.000000,0.000000
34002380.000000,2608.000000,18256.000000,271232.000000,62592.000000,11334836.000000,0.000000
35003852.000000,2513.000000,17584.000000,270472.000000,63352.000000,11668660.000000,0.000000
36000044.000000,2601.000000,18207.000000,269783.000000,62280.000000,12000723.000000,0.000000
37000652.000000,2504.000000,17521.000000,270257.000000,63280.000000,12334260.000000,0.000000
38002124.000000,2608.000000,18256.000000,271232.000000,62592.000000,12668084.000000,0.000000
39003596.000000,2608.000000,18256.000000,271232.000000,62592.000000,13001908.000000,0.000000
40000076.000000,2509.000000,17556.000000,269095.000000,63064.000000,13334067.000000,0.000000
41000396.000000,2596.000000,18172.000000,270945.000000,62496.000000,13667508.000000,0.000000
42001868.000000,2513.000000,17584.000000,270472.000000,63352.000000,14001332.000000,0.000000
43003340.000000,2608.000000,18256.000000,271232.000000,62592.000000,14335156.000000,0.000000
44000017.000000,2511.000000,17570.000000,269144.000000,63080.000000,14667380.000000,0.000000
45000140.000000,2594.000000,18158.000000,270896.000000,62480.000000,15000756.000000,0.000000
46001612.000000,2513.000000,17584.000000,270472.000000,63352.000000,15334580.000000,0.000000
47003084.000000,2608.000000,18256.000000,271232.000000,62592.000000,15668404.000000,0.000000
48004556.000000,2513.000000,17584.000000,270472.000000,63352.000000,16002228.000000,0.000000
49000081.000000,2594.000000,18158.000000,269616.000000,62224.000000,16334068.000000,0.000000
50001356.000000,2606.000000,18242.000000,271184.000000,62576.000000,16667828.000000,0.000000
51041365.000000,1799.000000,12559.000000,274602.000000,72200.000000,17014630.000000,2.000000
