Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1669519.000000,6.000000,18.000000,602788.000000,13811.000000,616599.000000,0.000000
3385992.000000,14.000000,40.000000,619117.000000,13805.000000,1249521.000000,1.000000
4001180.000000,43.000000,154.000000,221919.000000,4924.000000,1476364.000000,0.000000
5509746.000000,777.000000,2237.000000,547232.000000,8984.000000,2032580.000000,44.000000
7025673.000000,460.000000,1392.000000,548927.000000,10554.000000,2592061.000000,10.000000
8000154.000000,474.000000,1330.000000,349523.000000,5643.000000,2947227.000000,23.000000
9001295.000000,461.000000,1291.000000,357892.000000,5979.000000,3311098.000000,33.000000
10000334.000000,450.000000,1300.000000,357151.000000,5895.000000,3674144.000000,29.000000
11006557.000000,309.000000,761.000000,357156.000000,3350.000000,4034650.000000,53.000000
12031875.000000,134.000000,46.000000,362734.000000,690.000000,4398074.000000,72.000000
21544884.000000,3.000000,6.000000,3376956.000000,4585.000000,7779615.000000,33.000000
23001118.000000,164.000000,558.000000,513277.000000,789.000000,8293681.000000,97.000000
24000839.000000,168.000000,413.000000,352218.000000,629.000000,8646528.000000,147.000000
25023293.000000,175.000000,402.000000,359870.000000,657.000000,9007055.000000,187.000000
26000663.000000,194.000000,411.000000,344254.000000,644.000000,9351953.000000,158.000000
27003759.000000,125.000000,398.000000,353251.000000,563.000000,9705767.000000,163.000000
28017102.000000,110.000000,381.000000,357568.000000,516.000000,10063851.000000,107.000000
29002373.000000,128.000000,382.000000,347487.000000,546.000000,10411884.000000,124.000000
37681029.000000,65.000000,200.000000,3064957.000000,4855.000000,13481696.000000,146.000000
46845561.000000,27.000000,14.000000,3235909.000000,4605.000000,16722210.000000,23.000000
55254674.000000,12.000000,36.000000,2986368.000000,4606.000000,19713184.000000,12.000000
62581373.000000,4.000000,34.000000,2580848.000000,4599.000000,22298631.000000,4.000000
70968132.000000,165.000000,398.000000,2962885.000000,4603.000000,25266119.000000,164.000000
80269913.000000,42.000000,183.000000,3307522.000000,4610.000000,28578251.000000,42.000000
88216099.000000,8.000000,24.000000,2817354.000000,4592.000000,31400197.000000,8.000000
96906430.000000,6.000000,41.000000,3052588.000000,4607.000000,34457392.000000,6.000000
104368201.000000,19.000000,22.000000,2623256.000000,4600.000000,37085248.000000,19.000000
111683389.000000,17.000000,27.000000,2568354.000000,4603.000000,39658205.000000,17.000000
119268187.000000,7.000000,36.000000,2668495.000000,4601.000000,42331301.000000,7.000000
120001378.000000,347.000000,48.000000,258708.000000,416.000000,42590425.000000,95.000000
121000581.000000,480.000000,74.000000,350175.000000,579.000000,42941179.000000,310.000000
127448949.000000,89.000000,29.000000,2262210.000000,3621.000000,45207010.000000,188.000000
135266930.000000,3.000000,30.000000,2746035.000000,4591.000000,47957636.000000,3.000000
143942471.000000,34.000000,8.000000,3041036.000000,4607.000000,51003279.000000,18.000000
145004865.000000,216.000000,414.000000,374151.000000,684.000000,51378114.000000,105.000000
146001285.000000,159.000000,404.000000,350000.000000,593.000000,51728707.000000,171.000000
147001260.000000,189.000000,387.000000,349375.000000,623.000000,52078705.000000,183.000000
148000883.000000,121.000000,404.000000,348831.000000,547.000000,52428083.000000,139.000000
149004814.000000,145.000000,397.000000,350859.000000,576.000000,52779518.000000,134.000000
150005410.000000,121.000000,404.000000,350911.000000,566.000000,53130995.000000,123.000000
151003275.000000,110.000000,387.000000,350487.000000,524.000000,53482006.000000,118.000000
152008542.000000,194.000000,417.000000,355547.000000,652.000000,53838205.000000,160.000000
153004425.000000,206.000000,396.000000,351473.000000,644.000000,54190322.000000,189.000000
158716996.000000,38.000000,117.000000,2008062.000000,3798.000000,56202182.000000,168.000000
167571079.000000,38.000000,9.000000,3087612.000000,4606.000000,59294400.000000,22.000000
176457196.000000,5.000000,39.000000,3105876.000000,4604.000000,62404880.000000,5.000000
177001730.000000,129.000000,216.000000,190866.000000,380.000000,62596126.000000,44.000000
178011232.000000,170.000000,405.000000,352342.000000,626.000000,62949094.000000,167.000000
179002176.000000,186.000000,419.000000,346754.000000,649.000000,63296497.000000,170.000000
180006662.000000,100.000000,392.000000,350599.000000,515.000000,63647611.000000,131.000000
181010372.000000,122.000000,350.000000,351814.000000,516.000000,63999941.000000,104.000000
182019393.000000,123.000000,385.000000,357140.000000,538.000000,64357619.000000,126.000000
