Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000172.000000,7542.000000,273741.000000,309587.000000,24513.000000,334100.000000,9.000000
2000600.000000,7490.000000,285875.000000,308625.000000,24851.000000,667576.000000,0.000000
3000140.000000,7701.000000,267087.000000,310631.000000,22549.000000,1000756.000000,0.000000
4000076.000000,7812.000000,260139.000000,312480.000000,20832.000000,1334068.000000,0.000000
5000012.000000,7812.000000,260126.000000,312480.000000,20832.000000,1667380.000000,0.000000
6000005.000000,7815.000000,260213.000000,312487.000000,20839.000000,2000706.000000,0.000000
7000076.000000,7814.000000,260163.000000,312530.000000,20833.000000,2334069.000000,0.000000
8000012.000000,7812.000000,260139.000000,312480.000000,20832.000000,2667381.000000,0.000000
9000920.000000,7814.000000,260259.000000,312793.000000,20842.000000,3001016.000000,0.000000
10000856.000000,7812.000000,260126.000000,312480.000000,20832.000000,3334328.000000,0.000000
11000786.000000,7812.000000,260139.000000,312479.000000,20831.000000,3667638.000000,0.000000
12000728.000000,7812.000000,260155.000000,312481.000000,20833.000000,4000952.000000,0.000000
13000664.000000,7812.000000,260139.000000,312480.000000,20832.000000,4334264.000000,0.000000
14000600.000000,7812.000000,260139.000000,312480.000000,20832.000000,4667576.000000,0.000000
15000536.000000,7812.000000,260126.000000,312480.000000,20832.000000,5000888.000000,0.000000
16000466.000000,7812.000000,260139.000000,312479.000000,20831.000000,5334198.000000,0.000000
17000408.000000,7812.000000,260155.000000,312481.000000,20833.000000,5667512.000000,0.000000
18000344.000000,7812.000000,260139.000000,312480.000000,20832.000000,6000824.000000,0.000000
19000280.000000,7812.000000,260139.000000,312480.000000,20832.000000,6334136.000000,0.000000
20000216.000000,7812.000000,260126.000000,312480.000000,20832.000000,6667448.000000,0.000000
21000146.000000,7812.000000,260139.000000,312479.000000,20831.000000,7000758.000000,0.000000
22000088.000000,7812.000000,260155.000000,312481.000000,20833.000000,7334072.000000,0.000000
23000024.000000,7812.000000,260139.000000,312480.000000,20832.000000,7667384.000000,0.000000
24000044.000000,7814.000000,260220.000000,312501.000000,20838.000000,8000723.000000,0.000000
25000268.000000,7815.000000,260242.000000,312569.000000,20840.000000,8334132.000000,0.000000
26000204.000000,7812.000000,260155.000000,312480.000000,20832.000000,8667444.000000,0.000000
27000140.000000,7812.000000,260139.000000,312480.000000,20832.000000,9000756.000000,0.000000
28000076.000000,7812.000000,260139.000000,312480.000000,20832.000000,9334068.000000,0.000000
29000012.000000,7812.000000,260126.000000,312480.000000,20832.000000,9667380.000000,0.000000
30000005.000000,7815.000000,260213.000000,312487.000000,20839.000000,10000706.000000,0.000000
31000076.000000,7814.000000,260163.000000,312530.000000,20833.000000,10334069.000000,0.000000
32000012.000000,7812.000000,260139.000000,312480.000000,20832.000000,10667381.000000,0.000000
33000920.000000,7814.000000,260259.000000,312793.000000,20842.000000,11001016.000000,0.000000
34000856.000000,7812.000000,260126.000000,312480.000000,20832.000000,11334328.000000,0.000000
35000786.000000,7812.000000,260139.000000,312479.000000,20831.000000,11667638.000000,0.000000
36000728.000000,7812.000000,260155.000000,312481.000000,20833.000000,12000952.000000,0.000000
37000664.000000,7812.000000,260139.000000,312480.000000,20832.000000,12334264.000000,0.000000
38000600.000000,7812.000000,260139.000000,312480.000000,20832.000000,12667576.000000,0.000000
39000536.000000,7812.000000,260126.000000,312480.000000,20832.000000,13000888.000000,0.000000
40000466.000000,7812.000000,260139.000000,312479.000000,20831.000000,13334198.000000,0.000000
41000408.000000,7812.000000,260155.000000,312481.000000,20833.000000,13667512.000000,0.000000
42000344.000000,7812.000000,260139.000000,312480.000000,20832.000000,14000824.000000,0.000000
43000280.000000,7812.000000,260139.000000,312480.000000,20832.000000,14334136.000000,0.000000
44000216.000000,7812.000000,260126.000000,312480.000000,20832.000000,14667448.000000,0.000000
45000146.000000,7812.000000,260139.000000,312479.000000,20831.000000,15000758.000000,0.000000
46000088.000000,7812.000000,260155.000000,312481.000000,20833.000000,15334072.000000,0.000000
47000024.000000,7812.000000,260139.000000,312480.000000,20832.000000,15667384.000000,0.000000
48000044.000000,7814.000000,260220.000000,312501.000000,20838.000000,16000723.000000,0.000000
