Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001262.000000,1628.000000,5736.000000,367907.000000,2171.000000,370078.000000,65.000000
2001306.000000,1638.000000,3300.000000,366965.000000,1713.000000,738756.000000,117.000000
3008017.000000,1625.000000,3367.000000,369319.000000,1728.000000,1109803.000000,108.000000
4004640.000000,1641.000000,3419.000000,365640.000000,1727.000000,1477170.000000,108.000000
5001052.000000,1614.000000,3611.000000,365556.000000,1707.000000,1844433.000000,118.000000
6007898.000000,1598.000000,3710.000000,369369.000000,1782.000000,2215584.000000,67.000000
7004372.000000,1622.000000,3447.000000,366099.000000,1714.000000,2583397.000000,89.000000
8001989.000000,1568.000000,3203.000000,361990.000000,1639.000000,2947026.000000,76.000000
9001294.000000,1534.000000,3333.000000,361449.000000,1659.000000,3310134.000000,107.000000
10003982.000000,1539.000000,3480.000000,362655.000000,1626.000000,3674415.000000,107.000000
11006557.000000,890.000000,1988.000000,358118.000000,998.000000,4033531.000000,60.000000
12008914.000000,283.000000,564.000000,354880.000000,369.000000,4388780.000000,14.000000
13006073.000000,239.000000,554.000000,353461.000000,204.000000,4742445.000000,36.000000
14002917.000000,266.000000,594.000000,353314.000000,191.000000,5095950.000000,37.000000
15002903.000000,195.000000,314.000000,354761.000000,188.000000,5450899.000000,20.000000
16006359.000000,264.000000,409.000000,360005.000000,230.000000,5811134.000000,18.000000
17014687.000000,286.000000,499.000000,357373.000000,180.000000,6168687.000000,47.000000
18011525.000000,192.000000,308.000000,353371.000000,171.000000,6522229.000000,38.000000
19009101.000000,249.000000,447.000000,353596.000000,212.000000,6876037.000000,29.000000
20029043.000000,212.000000,465.000000,366067.000000,229.000000,7242333.000000,12.000000
21008174.000000,229.000000,471.000000,345584.000000,289.000000,7588206.000000,21.000000
22013443.000000,238.000000,492.000000,355511.000000,283.000000,7944000.000000,17.000000
23003420.000000,231.000000,423.000000,349058.000000,220.000000,8293278.000000,12.000000
24023935.000000,205.000000,420.000000,359867.000000,315.000000,8653460.000000,3.000000
25016840.000000,215.000000,508.000000,349659.000000,290.000000,9003409.000000,17.000000
26071990.000000,247.000000,394.000000,371976.000000,309.000000,9375694.000000,9.000000
27008031.000000,225.000000,388.000000,330034.000000,235.000000,9705963.000000,4.000000
