Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000268.000000,6482.000000,117027.000000,302798.000000,31335.000000,334133.000000,3.000000
2000204.000000,6510.000000,117667.000000,302064.000000,31248.000000,667445.000000,0.000000
3000140.000000,6509.000000,117667.000000,302064.000000,31248.000000,1000757.000000,0.000000
4000076.000000,6511.000000,117672.000000,302064.000000,31248.000000,1334069.000000,0.000000
5000012.000000,6510.000000,117667.000000,302064.000000,31248.000000,1667381.000000,0.000000
6000332.000000,6513.000000,117696.000000,302184.000000,31256.000000,2000821.000000,0.000000
7000268.000000,6510.000000,117667.000000,302064.000000,31248.000000,2334133.000000,0.000000
8000204.000000,6510.000000,117672.000000,302064.000000,31248.000000,2667445.000000,0.000000
9000140.000000,6510.000000,117667.000000,302064.000000,31248.000000,3000757.000000,0.000000
10000076.000000,6510.000000,117667.000000,302064.000000,31248.000000,3334069.000000,0.000000
11000012.000000,6510.000000,117667.000000,302064.000000,31248.000000,3667381.000000,0.000000
12000716.000000,6511.000000,117761.000000,302296.000000,31272.000000,4000949.000000,0.000000
13000268.000000,6512.000000,117608.000000,301952.000000,31232.000000,4334133.000000,0.000000
14000204.000000,6510.000000,117667.000000,302064.000000,31248.000000,4667445.000000,0.000000
15000140.000000,6510.000000,117667.000000,302064.000000,31248.000000,5000757.000000,0.000000
16000460.000000,6508.000000,117731.000000,302176.000000,31264.000000,5334197.000000,0.000000
17000012.000000,6512.000000,117608.000000,301952.000000,31232.000000,5667381.000000,0.000000
18000332.000000,6512.000000,117729.000000,302176.000000,31264.000000,6000821.000000,0.000000
19000268.000000,6510.000000,117667.000000,302064.000000,31248.000000,6334133.000000,0.000000
20000204.000000,6506.000000,117669.000000,302064.000000,31248.000000,6667445.000000,0.000000
21000140.000000,6514.000000,117670.000000,302064.000000,31248.000000,7000757.000000,0.000000
22000076.000000,6510.000000,117667.000000,302064.000000,31248.000000,7334069.000000,0.000000
23000012.000000,6510.000000,117667.000000,302064.000000,31248.000000,7667381.000000,0.000000
24000005.000000,6509.000000,117697.000000,302071.000000,31255.000000,8000707.000000,0.000000
25000268.000000,6513.000000,117703.000000,302169.000000,31257.000000,8334133.000000,0.000000
26000204.000000,6510.000000,117667.000000,302064.000000,31248.000000,8667445.000000,0.000000
27000140.000000,6510.000000,117667.000000,302064.000000,31248.000000,9000757.000000,0.000000
28000076.000000,6509.000000,117667.000000,302064.000000,31248.000000,9334069.000000,0.000000
29000012.000000,6511.000000,117672.000000,302064.000000,31248.000000,9667381.000000,0.000000
30000332.000000,6513.000000,117696.000000,302184.000000,31256.000000,10000821.000000,0.000000
31000268.000000,6510.000000,117667.000000,302064.000000,31248.000000,10334133.000000,0.000000
32000204.000000,6510.000000,117667.000000,302064.000000,31248.000000,10667445.000000,0.000000
33000140.000000,6510.000000,117672.000000,302064.000000,31248.000000,11000757.000000,0.000000
34000076.000000,6510.000000,117667.000000,302064.000000,31248.000000,11334069.000000,0.000000
35000012.000000,6510.000000,117667.000000,302064.000000,31248.000000,11667381.000000,0.000000
36000332.000000,6513.000000,117697.000000,302184.000000,31256.000000,12000821.000000,0.000000
37000652.000000,6508.000000,117731.000000,302176.000000,31264.000000,12334261.000000,0.000000
38000204.000000,6512.000000,117608.000000,301952.000000,31232.000000,12667445.000000,0.000000
39000140.000000,6510.000000,117667.000000,302064.000000,31248.000000,13000757.000000,0.000000
40000076.000000,6510.000000,117667.000000,302064.000000,31248.000000,13334069.000000,0.000000
41000396.000000,6508.000000,117731.000000,302176.000000,31264.000000,13667509.000000,0.000000
42000332.000000,6514.000000,117670.000000,302064.000000,31248.000000,14000821.000000,0.000000
43000268.000000,6510.000000,117667.000000,302064.000000,31248.000000,14334133.000000,0.000000
44000204.000000,6510.000000,117667.000000,302064.000000,31248.000000,14667445.000000,0.000000
45000140.000000,6506.000000,117669.000000,302064.000000,31248.000000,15000757.000000,0.000000
46000076.000000,6514.000000,117670.000000,302064.000000,31248.000000,15334069.000000,0.000000
47000012.000000,6510.000000,117667.000000,302064.000000,31248.000000,15667381.000000,0.000000
48000332.000000,6512.000000,117728.000000,302176.000000,31264.000000,16000821.000000,0.000000
49000268.000000,6509.000000,117667.000000,302064.000000,31248.000000,16334133.000000,0.000000
50000204.000000,6511.000000,117672.000000,302064.000000,31248.000000,16667445.000000,0.000000
51000272.000000,6504.000000,117475.000000,302235.000000,31252.000000,17000932.000000,4.000000
52000208.000000,6509.000000,117667.000000,302064.000000,31248.000000,17334244.000000,0.000000
53000144.000000,6511.000000,117672.000000,302064.000000,31248.000000,17667556.000000,0.000000
54000080.000000,6510.000000,117667.000000,302064.000000,31248.000000,18000868.000000,0.000000
55000016.000000,6510.000000,117667.000000,302064.000000,31248.000000,18334180.000000,0.000000
56000009.000000,6512.000000,117695.000000,302071.000000,31255.000000,18667506.000000,0.000000
57000272.000000,6511.000000,117673.000000,302177.000000,31249.000000,19000932.000000,0.000000
58000208.000000,6510.000000,117667.000000,302064.000000,31248.000000,19334244.000000,0.000000
59000144.000000,6510.000000,117667.000000,302064.000000,31248.000000,19667556.000000,0.000000
60000080.000000,6510.000000,117667.000000,302064.000000,31248.000000,20000868.000000,0.000000
61000016.000000,6510.000000,117672.000000,302064.000000,31248.000000,20334180.000000,0.000000
62000336.000000,6513.000000,117697.000000,302184.000000,31256.000000,20667620.000000,0.000000
63000272.000000,6510.000000,117667.000000,302064.000000,31248.000000,21000932.000000,0.000000
64000208.000000,6510.000000,117667.000000,302064.000000,31248.000000,21334244.000000,0.000000
65000528.000000,6508.000000,117731.000000,302176.000000,31264.000000,21667684.000000,0.000000
66000080.000000,6512.000000,117608.000000,301952.000000,31232.000000,22000868.000000,0.000000
67000016.000000,6510.000000,117667.000000,302064.000000,31248.000000,22334180.000000,0.000000
68000336.000000,6512.000000,117729.000000,302176.000000,31264.000000,22667620.000000,0.000000
69000272.000000,6506.000000,117669.000000,302064.000000,31248.000000,23000932.000000,0.000000
70000208.000000,6514.000000,117670.000000,302064.000000,31248.000000,23334244.000000,0.000000
71000144.000000,6510.000000,117667.000000,302064.000000,31248.000000,23667556.000000,0.000000
72000080.000000,6510.000000,117667.000000,302064.000000,31248.000000,24000868.000000,0.000000
73000016.000000,6506.000000,117669.000000,302064.000000,31248.000000,24334180.000000,0.000000
74000336.000000,6516.000000,117731.000000,302176.000000,31264.000000,24667620.000000,0.000000
75000272.000000,6510.000000,117667.000000,302064.000000,31248.000000,25000932.000000,0.000000
76000208.000000,6510.000000,117667.000000,302064.000000,31248.000000,25334244.000000,0.000000
77000144.000000,6509.000000,117667.000000,302064.000000,31248.000000,25667556.000000,0.000000
78000080.000000,6511.000000,117672.000000,302064.000000,31248.000000,26000868.000000,0.000000
79000016.000000,6510.000000,117667.000000,302064.000000,31248.000000,26334180.000000,0.000000
80000336.000000,6513.000000,117696.000000,302184.000000,31256.000000,26667620.000000,0.000000
81000272.000000,6510.000000,117667.000000,302064.000000,31248.000000,27000932.000000,0.000000
82000208.000000,6510.000000,117672.000000,302064.000000,31248.000000,27334244.000000,0.000000
83000144.000000,6510.000000,117667.000000,302064.000000,31248.000000,27667556.000000,0.000000
84000080.000000,6510.000000,117667.000000,302064.000000,31248.000000,28000868.000000,0.000000
85000016.000000,6510.000000,117667.000000,302064.000000,31248.000000,28334180.000000,0.000000
86000720.000000,6511.000000,117761.000000,302296.000000,31272.000000,28667748.000000,0.000000
