Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1002952.000000,928.000000,1252.000000,366167.000000,4564.000000,370731.000000,13.000000
2001253.000000,911.000000,930.000000,363914.000000,4152.000000,738797.000000,0.000000
3004565.000000,907.000000,1070.000000,365650.000000,4202.000000,1108649.000000,0.000000
4001131.000000,892.000000,898.000000,363145.000000,4216.000000,1476010.000000,0.000000
5002725.000000,873.000000,919.000000,364886.000000,4341.000000,1845237.000000,0.000000
6001043.000000,872.000000,817.000000,363689.000000,4367.000000,2213293.000000,0.000000
7002639.000000,915.000000,929.000000,365585.000000,4171.000000,2583049.000000,0.000000
8001989.000000,786.000000,782.000000,359905.000000,4420.000000,2947374.000000,0.000000
9006718.000000,809.000000,767.000000,360834.000000,4292.000000,3312500.000000,0.000000
10005798.000000,791.000000,735.000000,358663.000000,4380.000000,3675543.000000,0.000000
11004223.000000,493.000000,489.000000,355230.000000,2445.000000,4033218.000000,3.000000
12008914.000000,304.000000,340.000000,355677.000000,408.000000,4389303.000000,20.000000
13001459.000000,246.000000,272.000000,351819.000000,222.000000,4741344.000000,66.000000
14002917.000000,227.000000,367.000000,354891.000000,233.000000,5096468.000000,47.000000
15007393.000000,234.000000,283.000000,356367.000000,237.000000,5453072.000000,49.000000
16010810.000000,278.000000,269.000000,359961.000000,258.000000,5813291.000000,44.000000
17001063.000000,259.000000,250.000000,350954.000000,200.000000,6164445.000000,75.000000
18011525.000000,214.000000,282.000000,358156.000000,214.000000,6522815.000000,41.000000
19006853.000000,233.000000,266.000000,352718.000000,245.000000,6875778.000000,49.000000
20029043.000000,248.000000,248.000000,366883.000000,250.000000,7242911.000000,37.000000
21021958.000000,222.000000,245.000000,350428.000000,317.000000,7593656.000000,52.000000
22013321.000000,215.000000,301.000000,350560.000000,309.000000,7944525.000000,29.000000
23008034.000000,198.000000,257.000000,350693.000000,250.000000,8295468.000000,22.000000
24003166.000000,205.000000,255.000000,350858.000000,321.000000,8646647.000000,10.000000
25030036.000000,205.000000,226.000000,361838.000000,298.000000,9008783.000000,14.000000
26019092.000000,222.000000,272.000000,348558.000000,348.000000,9357689.000000,15.000000
27026242.000000,206.000000,226.000000,355138.000000,273.000000,9713100.000000,17.000000
28014846.000000,187.000000,245.000000,348944.000000,240.000000,10062284.000000,9.000000
29006987.000000,203.000000,248.000000,350191.000000,266.000000,10412741.000000,9.000000
30000761.000000,194.000000,353.000000,351443.000000,290.000000,10764474.000000,5.000000
31000441.000000,298.000000,281.000000,351274.000000,396.000000,11116144.000000,30.000000
32005580.000000,217.000000,255.000000,355235.000000,399.000000,11471778.000000,71.000000
33003245.000000,220.000000,228.000000,351743.000000,417.000000,11823938.000000,15.000000
34012467.000000,284.000000,220.000000,356868.000000,352.000000,12181158.000000,11.000000
35020781.000000,238.000000,237.000000,357444.000000,198.000000,12538800.000000,57.000000
36004128.000000,236.000000,245.000000,348120.000000,214.000000,12887134.000000,45.000000
37007720.000000,226.000000,256.000000,356474.000000,218.000000,13243826.000000,48.000000
38004594.000000,289.000000,259.000000,351487.000000,255.000000,13595568.000000,49.000000
39004455.000000,251.000000,288.000000,354254.000000,205.000000,13950027.000000,66.000000
40003755.000000,218.000000,274.000000,354127.000000,209.000000,14304363.000000,47.000000
41002056.000000,227.000000,212.000000,354053.000000,222.000000,14658638.000000,46.000000
42007595.000000,246.000000,200.000000,350359.000000,208.000000,15009205.000000,41.000000
43046907.000000,222.000000,202.000000,367853.000000,282.000000,15377340.000000,42.000000
44007248.000000,231.000000,236.000000,340001.000000,292.000000,15717633.000000,41.000000
45022378.000000,241.000000,282.000000,359611.000000,317.000000,16077561.000000,35.000000
46003329.000000,209.000000,234.000000,346270.000000,270.000000,16424101.000000,38.000000
47006435.000000,209.000000,290.000000,353931.000000,292.000000,16778324.000000,18.000000
48030904.000000,213.000000,229.000000,363669.000000,330.000000,17142323.000000,16.000000
49004051.000000,223.000000,254.000000,346834.000000,279.000000,17489436.000000,17.000000
50007256.000000,196.000000,298.000000,356294.000000,269.000000,17845999.000000,11.000000
51008197.000000,204.000000,285.000000,355694.000000,328.000000,18202021.000000,12.000000
52025325.000000,222.000000,235.000000,361705.000000,304.000000,18564030.000000,13.000000
53007379.000000,208.000000,252.000000,348519.000000,321.000000,18912870.000000,15.000000
54004506.000000,210.000000,275.000000,354370.000000,298.000000,19267538.000000,13.000000
55018837.000000,205.000000,209.000000,360495.000000,228.000000,19628261.000000,6.000000
56006319.000000,206.000000,359.000000,351508.000000,305.000000,19980074.000000,10.000000
57007843.000000,200.000000,285.000000,356118.000000,285.000000,20336477.000000,9.000000
58008156.000000,303.000000,234.000000,349344.000000,377.000000,20686198.000000,68.000000
59004060.000000,205.000000,249.000000,349484.000000,357.000000,21036039.000000,23.000000
60027803.000000,217.000000,296.000000,361652.000000,409.000000,21398100.000000,22.000000
61009956.000000,224.000000,183.000000,345149.000000,343.000000,21743592.000000,9.000000
62015259.000000,205.000000,242.000000,354193.000000,416.000000,22098201.000000,10.000000
63004727.000000,203.000000,330.000000,344871.000000,406.000000,22443478.000000,8.000000
64005063.000000,223.000000,319.000000,352462.000000,320.000000,22796260.000000,12.000000
65009866.000000,227.000000,267.000000,355535.000000,323.000000,23152118.000000,24.000000
66003317.000000,240.000000,245.000000,350577.000000,350.000000,23503045.000000,30.000000
67004644.000000,228.000000,170.000000,355956.000000,281.000000,23859282.000000,42.000000
68001432.000000,240.000000,267.000000,353421.000000,338.000000,24213041.000000,27.000000
69010439.000000,283.000000,236.000000,357562.000000,245.000000,24570848.000000,40.000000
70005266.000000,233.000000,236.000000,352564.000000,206.000000,24923618.000000,59.000000
71002588.000000,237.000000,174.000000,353365.000000,206.000000,25277189.000000,44.000000
72002145.000000,233.000000,233.000000,357799.000000,200.000000,25635188.000000,39.000000
73005615.000000,297.000000,293.000000,356734.000000,270.000000,25992192.000000,72.000000
74004507.000000,238.000000,371.000000,353915.000000,221.000000,26346328.000000,56.000000
75017994.000000,218.000000,190.000000,359155.000000,223.000000,26705706.000000,43.000000
76004033.000000,235.000000,261.000000,351789.000000,206.000000,27057701.000000,44.000000
77007196.000000,230.000000,238.000000,357744.000000,305.000000,27415750.000000,48.000000
78026085.000000,215.000000,246.000000,362270.000000,320.000000,27778340.000000,29.000000
79012595.000000,205.000000,249.000000,351311.000000,282.000000,28129933.000000,26.000000
80020469.000000,221.000000,241.000000,357779.000000,282.000000,28487994.000000,9.000000
81001658.000000,202.000000,228.000000,348929.000000,289.000000,28837212.000000,17.000000
82014497.000000,216.000000,281.000000,359426.000000,359.000000,29196997.000000,12.000000
83006543.000000,221.000000,255.000000,352577.000000,292.000000,29549866.000000,19.000000
84011114.000000,193.000000,221.000000,357121.000000,230.000000,29907217.000000,9.000000
85014999.000000,203.000000,234.000000,356448.000000,267.000000,30263932.000000,6.000000
86027709.000000,208.000000,334.000000,360750.000000,290.000000,30624972.000000,8.000000
87010931.000000,232.000000,224.000000,348113.000000,415.000000,30973500.000000,9.000000
88008731.000000,270.000000,296.000000,350995.000000,396.000000,31324891.000000,62.000000
89002913.000000,210.000000,226.000000,350687.000000,253.000000,31675831.000000,38.000000
90002157.000000,202.000000,231.000000,349453.000000,225.000000,32025509.000000,19.000000
91008930.000000,236.000000,260.000000,355022.000000,345.000000,32380876.000000,22.000000
92003587.000000,205.000000,292.000000,348012.000000,265.000000,32729153.000000,24.000000
93001486.000000,211.000000,233.000000,351489.000000,305.000000,33080947.000000,17.000000
94018328.000000,200.000000,280.000000,359253.000000,276.000000,33440476.000000,9.000000
95005025.000000,197.000000,243.000000,346834.000000,247.000000,33787557.000000,7.000000
96000786.000000,222.000000,299.000000,349966.000000,296.000000,34137819.000000,14.000000
97009608.000000,208.000000,223.000000,353814.000000,363.000000,34491996.000000,21.000000
98003468.000000,228.000000,216.000000,349703.000000,340.000000,34842039.000000,18.000000
99000890.000000,206.000000,285.000000,350503.000000,352.000000,35192894.000000,11.000000
100002986.000000,215.000000,300.000000,354731.000000,394.000000,35548019.000000,10.000000
101003595.000000,201.000000,231.000000,354524.000000,347.000000,35902890.000000,12.000000
102024531.000000,200.000000,279.000000,359313.000000,361.000000,36262564.000000,2.000000
103021980.000000,210.000000,225.000000,345335.000000,312.000000,36608211.000000,4.000000
104018452.000000,204.000000,241.000000,350770.000000,330.000000,36959311.000000,8.000000
105005133.000000,213.000000,333.000000,348473.000000,476.000000,37308260.000000,14.000000
106004756.000000,222.000000,258.000000,351988.000000,391.000000,37660639.000000,14.000000
107007856.000000,201.000000,328.000000,352079.000000,362.000000,38013080.000000,4.000000
108008921.000000,199.000000,255.000000,351694.000000,297.000000,38365071.000000,11.000000
109011124.000000,227.000000,312.000000,352719.000000,395.000000,38718185.000000,11.000000
110003240.000000,205.000000,239.000000,347987.000000,326.000000,39066498.000000,18.000000
111007557.000000,251.000000,279.000000,351583.000000,409.000000,39418490.000000,18.000000
112009186.000000,204.000000,222.000000,352481.000000,238.000000,39771209.000000,32.000000
113005012.000000,189.000000,316.000000,349416.000000,246.000000,40120871.000000,10.000000
114010448.000000,216.000000,158.000000,354420.000000,320.000000,40475611.000000,15.000000
115004808.000000,214.000000,301.000000,352401.000000,304.000000,40828316.000000,17.000000
116001097.000000,229.000000,240.000000,347122.000000,386.000000,41175824.000000,24.000000
117005795.000000,223.000000,279.000000,353636.000000,376.000000,41529836.000000,19.000000
118006492.000000,211.000000,214.000000,353167.000000,421.000000,41883424.000000,18.000000
119001824.000000,221.000000,216.000000,351394.000000,404.000000,42235222.000000,12.000000
120001535.000000,218.000000,227.000000,352425.000000,450.000000,42588097.000000,19.000000
121000557.000000,309.000000,261.000000,350185.000000,509.000000,42938791.000000,48.000000
122011717.000000,226.000000,272.000000,353832.000000,300.000000,43292923.000000,57.000000
123019244.000000,201.000000,271.000000,355210.000000,256.000000,43648389.000000,20.000000
124001258.000000,203.000000,294.000000,343723.000000,306.000000,43992418.000000,10.000000
125005801.000000,221.000000,225.000000,352114.000000,282.000000,44344814.000000,32.000000
126016169.000000,217.000000,248.000000,355726.000000,283.000000,44700823.000000,13.000000
127001463.000000,200.000000,229.000000,346244.000000,378.000000,45047445.000000,16.000000
128004212.000000,212.000000,261.000000,351689.000000,305.000000,45399439.000000,13.000000
129022278.000000,198.000000,301.000000,355247.000000,255.000000,45754941.000000,7.000000
130008559.000000,212.000000,219.000000,345291.000000,293.000000,46100525.000000,22.000000
131001624.000000,212.000000,239.000000,351427.000000,342.000000,46452294.000000,19.000000
132010592.000000,199.000000,333.000000,351459.000000,387.000000,46804140.000000,10.000000
133004462.000000,230.000000,252.000000,350251.000000,313.000000,47154704.000000,8.000000
134002058.000000,219.000000,237.000000,353044.000000,297.000000,47508045.000000,20.000000
135002121.000000,282.000000,226.000000,353802.000000,380.000000,47862227.000000,44.000000
136001535.000000,271.000000,248.000000,347803.000000,337.000000,48210367.000000,94.000000
137008407.000000,224.000000,316.000000,352734.000000,269.000000,48563370.000000,38.000000
138027058.000000,242.000000,294.000000,358783.000000,264.000000,48922417.000000,39.000000
139001022.000000,248.000000,249.000000,340968.000000,243.000000,49263628.000000,50.000000
