Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000364.000000,5459.000000,31490.000000,294358.000000,39805.000000,334163.000000,44.000000
2000012.000000,4888.000000,36680.000000,289015.000000,44200.000000,667378.000000,0.000000
3000140.000000,4883.000000,36781.000000,289105.000000,44272.000000,1000755.000000,0.000000
4000652.000000,4886.000000,36810.000000,289216.000000,44288.000000,1334259.000000,0.000000
5000108.000000,4880.000000,36760.000000,288904.000000,44248.000000,1667411.000000,0.000000
6000049.000000,4884.000000,36796.000000,289024.000000,44288.000000,2000723.000000,0.000000
7000268.000000,4882.000000,36774.000000,289144.000000,44264.000000,2334131.000000,0.000000
8000396.000000,4884.000000,36796.000000,289104.000000,44272.000000,2667507.000000,0.000000
9000049.000000,4883.000000,36773.000000,288952.000000,44264.000000,3000723.000000,0.000000
10000556.000000,4883.000000,36797.000000,289216.000000,44288.000000,3334227.000000,0.000000
11000012.000000,4880.000000,36760.000000,288904.000000,44248.000000,3667379.000000,0.000000
12000140.000000,4884.000000,36796.000000,289104.000000,44272.000000,4000755.000000,0.000000
13000460.000000,4884.000000,36796.000000,289152.000000,44288.000000,4334195.000000,0.000000
14000300.000000,4882.000000,36774.000000,289016.000000,44264.000000,4667475.000000,0.000000
15000620.000000,4884.000000,36796.000000,289152.000000,44288.000000,5000915.000000,0.000000
16000465.000000,4882.000000,36774.000000,289016.000000,44264.000000,5334195.000000,0.000000
17000204.000000,4882.000000,36782.000000,288992.000000,44256.000000,5667443.000000,0.000000
18000044.000000,4882.000000,36774.000000,289016.000000,44264.000000,6000723.000000,0.000000
19000364.000000,4884.000000,36796.000000,289152.000000,44288.000000,6334163.000000,0.000000
20000209.000000,4882.000000,36774.000000,289016.000000,44264.000000,6667443.000000,0.000000
21000044.000000,4883.000000,36789.000000,289015.000000,44264.000000,7000722.000000,0.000000
22000172.000000,4883.000000,36781.000000,289105.000000,44272.000000,7334099.000000,0.000000
23000108.000000,4882.000000,36782.000000,289040.000000,44272.000000,7667411.000000,0.000000
