Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001262.000000,1007.000000,2912.000000,365573.000000,4561.000000,370134.000000,51.000000
2001281.000000,950.000000,2739.000000,364516.000000,4199.000000,738849.000000,6.000000
3001157.000000,954.000000,2797.000000,364370.000000,4231.000000,1107450.000000,3.000000
4002904.000000,966.000000,2748.000000,365164.000000,4134.000000,1476748.000000,8.000000
5004516.000000,955.000000,2726.000000,365114.000000,4138.000000,1846000.000000,2.000000
6001026.000000,953.000000,2837.000000,363182.000000,4204.000000,2213386.000000,5.000000
7000933.000000,940.000000,2832.000000,364870.000000,4258.000000,2582514.000000,1.000000
8000154.000000,922.000000,2545.000000,360292.000000,4006.000000,2946812.000000,5.000000
9003077.000000,906.000000,2529.000000,360463.000000,4008.000000,3311283.000000,5.000000
10000334.000000,887.000000,2622.000000,358297.000000,4081.000000,3673661.000000,2.000000
11001985.000000,661.000000,1352.000000,356569.000000,2278.000000,4032508.000000,36.000000
12002046.000000,378.000000,95.000000,353987.000000,494.000000,4386989.000000,214.000000
13001459.000000,231.000000,53.000000,354173.000000,314.000000,4741476.000000,117.000000
14000633.000000,210.000000,82.000000,354006.000000,313.000000,5095795.000000,81.000000
15002903.000000,228.000000,79.000000,355452.000000,319.000000,5451566.000000,90.000000
16003948.000000,266.000000,70.000000,359041.000000,344.000000,5810951.000000,97.000000
17012459.000000,216.000000,61.000000,357321.000000,294.000000,6168566.000000,98.000000
18009191.000000,210.000000,83.000000,353232.000000,307.000000,6522105.000000,86.000000
19002394.000000,242.000000,63.000000,351865.000000,327.000000,6874297.000000,94.000000
20001468.000000,246.000000,55.000000,358678.000000,311.000000,7233286.000000,96.000000
21003577.000000,337.000000,84.000000,353589.000000,438.000000,7587313.000000,166.000000
22004113.000000,311.000000,83.000000,353700.000000,417.000000,7941430.000000,177.000000
23001118.000000,267.000000,82.000000,351386.000000,359.000000,8293175.000000,156.000000
24000839.000000,345.000000,90.000000,352330.000000,453.000000,8645958.000000,159.000000
25004267.000000,338.000000,110.000000,353460.000000,464.000000,8999882.000000,200.000000
26000663.000000,344.000000,75.000000,351051.000000,445.000000,9351378.000000,192.000000
27003759.000000,302.000000,76.000000,353410.000000,390.000000,9705178.000000,174.000000
28005624.000000,262.000000,61.000000,353676.000000,335.000000,10059189.000000,121.000000
29002373.000000,300.000000,69.000000,351749.000000,375.000000,10411313.000000,148.000000
30000761.000000,314.000000,75.000000,352879.000000,421.000000,10764613.000000,179.000000
31002727.000000,387.000000,76.000000,351948.000000,491.000000,11117052.000000,206.000000
32000958.000000,398.000000,62.000000,352737.000000,476.000000,11470265.000000,233.000000
33003139.000000,431.000000,69.000000,353264.000000,512.000000,11824041.000000,283.000000
34001066.000000,370.000000,70.000000,352810.000000,454.000000,12177305.000000,236.000000
35000100.000000,215.000000,60.000000,354056.000000,285.000000,12531646.000000,121.000000
36004128.000000,225.000000,72.000000,355346.000000,303.000000,12887295.000000,86.000000
37001014.000000,215.000000,74.000000,354005.000000,310.000000,13241610.000000,92.000000
38002307.000000,253.000000,81.000000,353055.000000,357.000000,13595022.000000,93.000000
39004455.000000,210.000000,74.000000,354942.000000,298.000000,13950262.000000,96.000000
40003755.000000,209.000000,76.000000,354025.000000,288.000000,14304575.000000,78.000000
41002056.000000,232.000000,75.000000,353934.000000,320.000000,14658829.000000,89.000000
42003000.000000,222.000000,55.000000,348637.000000,294.000000,15007760.000000,85.000000
43001050.000000,275.000000,61.000000,353181.000000,372.000000,15361313.000000,119.000000
44002623.000000,315.000000,68.000000,354487.000000,395.000000,15716195.000000,156.000000
45006168.000000,299.000000,76.000000,355364.000000,394.000000,16071953.000000,146.000000
46000923.000000,298.000000,67.000000,351079.000000,377.000000,16423409.000000,157.000000
47006352.000000,293.000000,86.000000,354646.000000,398.000000,16778453.000000,157.000000
48000703.000000,337.000000,77.000000,352659.000000,431.000000,17131543.000000,182.000000
49004051.000000,331.000000,81.000000,357687.000000,425.000000,17489655.000000,191.000000
50000335.000000,281.000000,75.000000,353717.000000,364.000000,17843736.000000,146.000000
51003460.000000,353.000000,92.000000,356328.000000,458.000000,18200522.000000,192.000000
52016114.000000,337.000000,52.000000,359994.000000,405.000000,18560921.000000,204.000000
53009531.000000,333.000000,74.000000,352436.000000,434.000000,18913791.000000,177.000000
54000147.000000,313.000000,82.000000,351948.000000,416.000000,19266155.000000,185.000000
55002811.000000,255.000000,70.000000,356286.000000,345.000000,19622786.000000,121.000000
56001809.000000,316.000000,102.000000,355435.000000,438.000000,19978659.000000,153.000000
57000146.000000,296.000000,84.000000,354967.000000,399.000000,20334025.000000,153.000000
58003559.000000,377.000000,86.000000,350222.000000,482.000000,20684729.000000,211.000000
59001820.000000,356.000000,75.000000,350207.000000,444.000000,21035380.000000,190.000000
60000163.000000,399.000000,75.000000,352583.000000,490.000000,21388453.000000,241.000000
61000572.000000,365.000000,78.000000,351561.000000,472.000000,21740486.000000,225.000000
62001555.000000,412.000000,83.000000,352550.000000,522.000000,22093558.000000,248.000000
