Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1004765.000000,1909.000000,1582.000000,359167.000000,3495.000000,362662.000000,1891.000000
2001731.000000,921.000000,306.000000,334575.000000,1227.000000,698464.000000,921.000000
3001034.000000,927.000000,308.000000,335311.000000,1235.000000,1035010.000000,927.000000
4002995.000000,922.000000,307.000000,336231.000000,1229.000000,1372470.000000,922.000000
5000308.000000,923.000000,306.000000,334687.000000,1229.000000,1708386.000000,923.000000
6004058.000000,926.000000,307.000000,336822.000000,1233.000000,2046441.000000,926.000000
7001231.000000,922.000000,308.000000,334633.000000,1230.000000,2382304.000000,922.000000
8000528.000000,926.000000,306.000000,335310.000000,1232.000000,2718846.000000,926.000000
9002495.000000,923.000000,308.000000,336255.000000,1231.000000,3056332.000000,923.000000
10000135.000000,923.000000,306.000000,334770.000000,1229.000000,3392331.000000,923.000000
11003759.000000,926.000000,308.000000,336816.000000,1234.000000,3730381.000000,926.000000
12000725.000000,921.000000,305.000000,334540.000000,1226.000000,4066147.000000,921.000000
13000028.000000,927.000000,307.000000,335341.000000,1234.000000,4402722.000000,927.000000
14001989.000000,922.000000,307.000000,336244.000000,1229.000000,4740195.000000,922.000000
15001292.000000,927.000000,307.000000,335337.000000,1234.000000,5076766.000000,927.000000
16003253.000000,922.000000,307.000000,336233.000000,1229.000000,5414228.000000,922.000000
17000225.000000,922.000000,308.000000,334557.000000,1230.000000,5750015.000000,922.000000
18003238.000000,927.000000,307.000000,336575.000000,1234.000000,6087824.000000,927.000000
19001489.000000,922.000000,307.000000,334977.000000,1229.000000,6424030.000000,922.000000
20000786.000000,926.000000,305.000000,335347.000000,1231.000000,6760608.000000,926.000000
21002753.000000,923.000000,309.000000,336233.000000,1232.000000,7098073.000000,923.000000
22000060.000000,922.000000,305.000000,334679.000000,1227.000000,7433979.000000,922.000000
23004017.000000,927.000000,309.000000,336891.000000,1236.000000,7772106.000000,927.000000
24000983.000000,921.000000,305.000000,334566.000000,1226.000000,8107898.000000,921.000000
25000286.000000,927.000000,308.000000,335314.000000,1235.000000,8444447.000000,927.000000
26002247.000000,922.000000,307.000000,336257.000000,1229.000000,8781933.000000,922.000000
27000218.000000,926.000000,307.000000,334859.000000,1233.000000,9118025.000000,926.000000
28002442.000000,923.000000,307.000000,336345.000000,1230.000000,9455600.000000,923.000000
29000483.000000,922.000000,307.000000,334921.000000,1229.000000,9791750.000000,922.000000
30002324.000000,927.000000,306.000000,336197.000000,1233.000000,10129180.000000,927.000000
31001747.000000,922.000000,307.000000,335385.000000,1229.000000,10465794.000000,922.000000
32001044.000000,926.000000,307.000000,335330.000000,1233.000000,10802357.000000,926.000000
33003011.000000,923.000000,308.000000,336230.000000,1231.000000,11139818.000000,923.000000
