Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
50339294.000000,49.000000,4194628.000000,12585805.000000,4194669.000000,16780474.000000,46.000000
100672610.000000,11.000000,4194337.000000,12583552.000000,4194350.000000,33558376.000000,10.000000
151006044.000000,13.000000,4194339.000000,12583589.000000,4194352.000000,50336317.000000,12.000000
201339695.000000,16.000000,4194337.000000,12583583.000000,4194352.000000,67114252.000000,15.000000
251674306.000000,24.000000,4194344.000000,12583800.000000,4194367.000000,83892419.000000,23.000000
302010836.000000,38.000000,4194369.000000,12584225.000000,4194408.000000,100671052.000000,37.000000
352351720.000000,68.000000,4194437.000000,12585361.000000,4194507.000000,117450920.000000,67.000000
402700130.000000,133.000000,4194560.000000,12587010.000000,4194697.000000,134232627.000000,131.000000
453063787.000000,321.000000,4194833.000000,12590391.000000,4195147.000000,151018165.000000,319.000000
503458107.000000,626.000000,4195584.000000,12597253.000000,4196005.000000,167811423.000000,624.000000
553913755.000000,1237.000000,4196492.000000,12610979.000000,4197753.000000,184620155.000000,1235.000000
604492059.000000,2505.000000,4199261.000000,12637972.000000,4201717.000000,201459844.000000,2499.000000
655315671.000000,5067.000000,4209224.000000,12687275.000000,4214376.000000,218361495.000000,5064.000000
656000082.000000,9286.000000,17119.000000,160299.000000,26562.000000,218548356.000000,9273.000000
706628403.000000,1460.000000,4207251.000000,12628539.000000,4208710.000000,235385605.000000,1471.000000
708000025.000000,21708.000000,30810.000000,321177.000000,52837.000000,235759619.000000,21689.000000
758920082.000000,3015.000000,4220029.000000,12672805.000000,4223043.000000,252655467.000000,3030.000000
760000053.000000,29822.000000,20265.000000,254144.000000,50630.000000,252960241.000000,29799.000000
761000017.000000,8982.000000,74992.000000,246657.000000,83974.000000,253290872.000000,8982.000000
762000081.000000,8920.000000,3015.000000,238085.000000,11935.000000,253540892.000000,8920.000000
813249154.000000,3804.000000,4244781.000000,12700836.000000,4248584.000000,270490312.000000,3817.000000
814000043.000000,33368.000000,25131.000000,178028.000000,59285.000000,270727625.000000,33352.000000
815000047.000000,19900.000000,8402.000000,235850.000000,28302.000000,270991777.000000,19900.000000
816000119.000000,14515.000000,80205.000000,226251.000000,94721.000000,271312749.000000,14515.000000
817000055.000000,8920.000000,3036.000000,238028.000000,11956.000000,271562733.000000,8920.000000
818000119.000000,8921.000000,3028.000000,238070.000000,11949.000000,271812752.000000,8922.000000
819000055.000000,8920.000000,3018.000000,238046.000000,11938.000000,272062736.000000,8919.000000
820000119.000000,8889.000000,3057.000000,238070.000000,11946.000000,272312752.000000,8892.000000
821100143.000000,810.000000,98911.000000,60630.000000,99721.000000,272473103.000000,823.000000
871432232.000000,9.000000,4194341.000000,12583133.000000,4194349.000000,289250585.000000,8.000000
872000021.000000,25430.000000,19816.000000,134843.000000,45819.000000,289431247.000000,25413.000000
873000106.000000,43559.000000,30462.000000,236256.000000,75153.000000,289742656.000000,43564.000000
874000004.000000,18701.000000,9599.000000,235824.000000,28300.000000,290006780.000000,18697.000000
875000008.000000,19900.000000,8402.000000,235850.000000,28302.000000,290270932.000000,19900.000000
876000012.000000,19900.000000,8402.000000,235850.000000,28302.000000,290535084.000000,19900.000000
877000221.000000,8209.000000,151788.000000,216852.000000,159998.000000,290911934.000000,8212.000000
878000029.000000,7511.000000,4402.000000,238042.000000,11913.000000,291161889.000000,7508.000000
879000093.000000,8873.000000,3060.000000,238083.000000,11933.000000,291411905.000000,8873.000000
880000029.000000,8868.000000,3039.000000,238077.000000,11907.000000,291661889.000000,8868.000000
881000093.000000,8873.000000,3031.000000,238112.000000,11904.000000,291911905.000000,8873.000000
882000013.000000,8869.000000,3054.000000,238052.000000,11923.000000,292161880.000000,8870.000000
883000093.000000,8876.000000,3028.000000,238124.000000,11904.000000,292411908.000000,8875.000000
