Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1121667.000000,52.000000,9400.000000,405142.000000,9459.000000,414601.000000,50.000000
2042658.000000,7.000000,7375.000000,332266.000000,7382.000000,754249.000000,7.000000
3018482.000000,3.000000,7924.000000,351875.000000,7927.000000,1114051.000000,3.000000
4159377.000000,6.000000,9177.000000,411473.000000,9184.000000,1534708.000000,6.000000
5107713.000000,3.000000,7616.000000,342053.000000,7619.000000,1884380.000000,3.000000
6399792.000000,6.000000,10473.000000,465959.000000,10480.000000,2360819.000000,6.000000
7025581.000000,4.000000,5078.000000,226202.000000,5082.000000,2592103.000000,3.000000
8002126.000000,5.000000,7565.000000,348423.000000,7570.000000,2948096.000000,5.000000
9112804.000000,9.000000,8654.000000,395032.000000,8664.000000,3351792.000000,10.000000
10035280.000000,15.000000,7122.000000,328130.000000,7142.000000,3687064.000000,14.000000
11001985.000000,155.000000,3812.000000,342182.000000,3971.000000,4033217.000000,143.000000
12008914.000000,234.000000,490.000000,356210.000000,724.000000,4390151.000000,232.000000
13017543.000000,76.000000,446.000000,357191.000000,522.000000,4747864.000000,77.000000
14002917.000000,77.000000,374.000000,348988.000000,451.000000,5097303.000000,74.000000
15018592.000000,94.000000,356.000000,360108.000000,450.000000,5457861.000000,92.000000
16010810.000000,101.000000,410.000000,355682.000000,512.000000,5814055.000000,98.000000
17012459.000000,71.000000,366.000000,354715.000000,437.000000,6169207.000000,68.000000
18009191.000000,78.000000,386.000000,353081.000000,449.000000,6522737.000000,77.000000
19006853.000000,104.000000,352.000000,353334.000000,457.000000,6876528.000000,103.000000
20001468.000000,101.000000,361.000000,356927.000000,462.000000,7233917.000000,99.000000
21008148.000000,196.000000,426.000000,355040.000000,624.000000,7589581.000000,200.000000
22006393.000000,152.000000,377.000000,352805.000000,527.000000,7942913.000000,150.000000
23001118.000000,124.000000,391.000000,350463.000000,514.000000,8293890.000000,125.000000
24003140.000000,187.000000,401.000000,353076.000000,588.000000,8647554.000000,183.000000
25016677.000000,164.000000,409.000000,356753.000000,573.000000,9004880.000000,168.000000
26000663.000000,215.000000,404.000000,346662.000000,618.000000,9352160.000000,212.000000
27003759.000000,126.000000,398.000000,353278.000000,524.000000,9705962.000000,127.000000
28017102.000000,115.000000,364.000000,357606.000000,479.000000,10064047.000000,115.000000
29002373.000000,137.000000,364.000000,347526.000000,501.000000,10412074.000000,134.000000
30000735.000000,136.000000,395.000000,352821.000000,531.000000,10765426.000000,138.000000
31002727.000000,220.000000,421.000000,351892.000000,641.000000,11117959.000000,216.000000
32000958.000000,278.000000,411.000000,352519.000000,690.000000,11471168.000000,278.000000
33000879.000000,320.000000,367.000000,352267.000000,686.000000,11824121.000000,318.000000
34044371.000000,227.000000,447.000000,368738.000000,674.000000,12193533.000000,228.000000
35000100.000000,65.000000,363.000000,338574.000000,428.000000,12532535.000000,64.000000
36004128.000000,86.000000,325.000000,355232.000000,410.000000,12888177.000000,84.000000
37001014.000000,83.000000,353.000000,353865.000000,436.000000,13242478.000000,79.000000
38002307.000000,99.000000,384.000000,352861.000000,486.000000,13595825.000000,96.000000
39004455.000000,69.000000,383.000000,354785.000000,451.000000,13951061.000000,69.000000
40003755.000000,79.000000,354.000000,353936.000000,430.000000,14305427.000000,76.000000
41002056.000000,100.000000,350.000000,353778.000000,451.000000,14659656.000000,100.000000
42005427.000000,87.000000,384.000000,349353.000000,473.000000,15009482.000000,86.000000
43001050.000000,152.000000,336.000000,352171.000000,488.000000,15362141.000000,151.000000
