Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000268.000000,6261.000000,1129.000000,298048.000000,36071.000000,334119.000000,30.000000
2000204.000000,6996.000000,1503.000000,301428.000000,31883.000000,667430.000000,0.000000
3000524.000000,7366.000000,1698.000000,303430.000000,30010.000000,1000870.000000,0.000000
4000268.000000,7504.000000,1874.000000,304013.000000,29235.000000,1334118.000000,0.000000
5000204.000000,7602.000000,1945.000000,304592.000000,28720.000000,1667430.000000,0.000000
6000524.000000,7798.000000,2120.000000,305923.000000,27517.000000,2000870.000000,0.000000
7000172.000000,7803.000000,2092.000000,305623.000000,27593.000000,2334086.000000,0.000000
8000012.000000,7939.000000,2261.000000,306419.000000,26862.000000,2667367.000000,0.000000
9000620.000000,7960.000000,2223.000000,306733.000000,26802.000000,3000902.000000,0.000000
10000364.000000,8125.000000,2492.000000,307322.000000,25926.000000,3334150.000000,0.000000
11000108.000000,8056.000000,2349.000000,307107.000000,26141.000000,3667398.000000,0.000000
12000005.000000,8052.000000,2334.000000,306982.000000,26312.000000,4000692.000000,0.000000
13000364.000000,8062.000000,2353.000000,307114.000000,26344.000000,4334150.000000,0.000000
14000204.000000,8126.000000,2445.000000,307385.000000,25895.000000,4667430.000000,0.000000
15000428.000000,8014.000000,2251.000000,306952.000000,26456.000000,5000838.000000,0.000000
16000268.000000,7962.000000,2239.000000,306690.000000,26590.000000,5334118.000000,0.000000
17000780.000000,8106.000000,2352.000000,307571.000000,25933.000000,5667622.000000,0.000000
18000044.000000,8108.000000,2418.000000,307136.000000,25952.000000,6000710.000000,0.000000
19000268.000000,8218.000000,2563.000000,308113.000000,25295.000000,6334118.000000,0.000000
20000300.000000,8248.000000,2528.000000,308058.000000,25285.000000,6667461.000000,0.000000
21000332.000000,8187.000000,2524.000000,307764.000000,25581.000000,7000806.000000,0.000000
22000460.000000,8213.000000,2512.000000,307928.000000,25448.000000,7334182.000000,0.000000
23000396.000000,8193.000000,2565.000000,307861.000000,25451.000000,7667494.000000,0.000000
24000044.000000,8227.000000,2551.000000,308000.000000,25215.000000,8000709.000000,0.000000
25000037.000000,8291.000000,2633.000000,308348.000000,24979.000000,8334036.000000,0.000000
26000204.000000,8222.000000,2589.000000,308017.000000,25377.000000,8667430.000000,0.000000
27000332.000000,8245.000000,2548.000000,308170.000000,25206.000000,9000806.000000,0.000000
28000556.000000,8253.000000,2582.000000,308251.000000,25157.000000,9334214.000000,0.000000
29000016.000000,8221.000000,2481.000000,307764.000000,25389.000000,9667367.000000,0.000000
30000044.000000,8242.000000,2543.000000,308251.000000,25092.000000,10000710.000000,0.000000
31000460.000000,8263.000000,2594.000000,308298.000000,25174.000000,10334182.000000,0.000000
32000300.000000,8231.000000,2544.000000,307993.000000,25287.000000,10667462.000000,0.000000
33000332.000000,8308.000000,2600.000000,308444.000000,24900.000000,11000806.000000,0.000000
34000364.000000,8282.000000,2641.000000,308327.000000,25017.000000,11334150.000000,0.000000
35000204.000000,8280.000000,2659.000000,308241.000000,25039.000000,11667430.000000,0.000000
36000428.000000,8243.000000,2502.000000,308231.000000,25177.000000,12000838.000000,0.000000
37000076.000000,8288.000000,2634.000000,308188.000000,25029.000000,12334055.000000,0.000000
38000108.000000,8229.000000,2580.000000,308038.000000,25305.000000,12667398.000000,0.000000
39000332.000000,8211.000000,2505.000000,307994.000000,25414.000000,13000806.000000,0.000000
40000460.000000,8249.000000,2584.000000,308228.000000,25148.000000,13334182.000000,0.000000
41000108.000000,8216.000000,2561.000000,308015.000000,25201.000000,13667398.000000,0.000000
42000332.000000,8235.000000,2553.000000,308109.000000,25299.000000,14000806.000000,0.000000
43000460.000000,8263.000000,2558.000000,308477.000000,24899.000000,14334182.000000,0.000000
44000108.000000,8184.000000,2459.000000,307705.000000,25511.000000,14667398.000000,0.000000
45000236.000000,8286.000000,2648.000000,308379.000000,24996.000000,15000773.000000,0.000000
46000556.000000,8330.000000,2675.000000,308609.000000,24832.000000,15334214.000000,0.000000
47000006.000000,8218.000000,2551.000000,307778.000000,25370.000000,15667362.000000,0.000000
48000620.000000,8241.000000,2563.000000,308308.000000,25232.000000,16000902.000000,0.000000
49000043.000000,8287.000000,2574.000000,308269.000000,24866.000000,16334037.000000,0.000000
50000300.000000,8198.000000,2500.000000,308113.000000,25312.000000,16667462.000000,0.000000
51000464.000000,8283.000000,2579.000000,308464.000000,25049.000000,17000975.000000,8.000000
52000208.000000,8302.000000,2637.000000,308181.000000,25067.000000,17334223.000000,0.000000
53000009.000000,8269.000000,2677.000000,308258.000000,25004.000000,17667485.000000,0.000000
54000368.000000,8277.000000,2582.000000,308406.000000,25052.000000,18000943.000000,0.000000
55000208.000000,8284.000000,2601.000000,308353.000000,24927.000000,18334223.000000,0.000000
56000336.000000,8361.000000,2711.000000,308793.000000,24583.000000,18667599.000000,0.000000
57000560.000000,8284.000000,2595.000000,308443.000000,24965.000000,19001007.000000,0.000000
58000112.000000,8345.000000,2652.000000,308498.000000,24686.000000,19334191.000000,0.000000
59000048.000000,8259.000000,2566.000000,308322.000000,24990.000000,19667503.000000,0.000000
60000272.000000,8259.000000,2587.000000,308191.000000,25217.000000,20000911.000000,0.000000
61000112.000000,8280.000000,2624.000000,308232.000000,25048.000000,20334191.000000,0.000000
62000144.000000,8310.000000,2649.000000,308358.000000,24986.000000,20667535.000000,0.000000
63000272.000000,8375.000000,2745.000000,308749.000000,24627.000000,21000911.000000,0.000000
64000208.000000,8327.000000,2669.000000,308507.000000,24805.000000,21334223.000000,0.000000
65000144.000000,8333.000000,2724.000000,308518.000000,24794.000000,21667535.000000,0.000000
66000080.000000,8309.000000,2651.000000,308458.000000,24854.000000,22000847.000000,0.000000
67000016.000000,8281.000000,2614.000000,308348.000000,24964.000000,22334159.000000,0.000000
68000144.000000,8291.000000,2612.000000,308473.000000,24903.000000,22667535.000000,0.000000
69000080.000000,8296.000000,2585.000000,308400.000000,24912.000000,23000847.000000,0.000000
70000496.000000,8338.000000,2616.000000,308711.000000,24761.000000,23334319.000000,0.000000
71000336.000000,8375.000000,2750.000000,308728.000000,24552.000000,23667599.000000,0.000000
72000272.000000,8322.000000,2681.000000,308546.000000,24766.000000,24000911.000000,0.000000
73000112.000000,8323.000000,2672.000000,308412.000000,24867.000000,24334190.000000,0.000000
74000432.000000,8353.000000,2666.000000,308830.000000,24611.000000,24667631.000000,0.000000
75000080.000000,8328.000000,2652.000000,308475.000000,24741.000000,25000847.000000,0.000000
76000112.000000,8335.000000,2685.000000,308547.000000,24797.000000,25334191.000000,0.000000
77000720.000000,8328.000000,2641.000000,308661.000000,24875.000000,25667727.000000,0.000000
78000368.000000,8284.000000,2631.000000,308392.000000,24824.000000,26000943.000000,0.000000
79000400.000000,8351.000000,2682.000000,308668.000000,24676.000000,26334287.000000,0.000000
80000048.000000,8304.000000,2649.000000,308314.000000,24902.000000,26667503.000000,0.000000
81000176.000000,8357.000000,2687.000000,308808.000000,24568.000000,27000879.000000,0.000000
82000400.000000,8346.000000,2710.000000,308599.000000,24809.000000,27334287.000000,0.000000
83000009.000000,8271.000000,2630.000000,308288.000000,24910.000000,27667485.000000,0.000000
84000560.000000,8250.000000,2542.000000,308286.000000,25236.000000,28001007.000000,0.000000
85000112.000000,8307.000000,2690.000000,308352.000000,24832.000000,28334191.000000,0.000000
86000821.000000,8335.000000,2677.000000,308725.000000,24843.000000,28667759.000000,0.000000
87000176.000000,8320.000000,2720.000000,308385.000000,24736.000000,29000880.000000,0.000000
88000400.000000,8329.000000,2645.000000,308623.000000,24784.000000,29334287.000000,0.000000
89000336.000000,8257.000000,2572.000000,308216.000000,25096.000000,29667599.000000,0.000000
90000272.000000,8302.000000,2607.000000,308421.000000,24891.000000,30000911.000000,0.000000
91000021.000000,8278.000000,2575.000000,308157.000000,25091.000000,30334159.000000,0.000000
92000048.000000,8305.000000,2639.000000,308493.000000,24851.000000,30667503.000000,0.000000
93000080.000000,8290.000000,2585.000000,308278.000000,25066.000000,31000847.000000,0.000000
94000016.000000,8341.000000,2680.000000,308636.000000,24676.000000,31334159.000000,0.000000
95000336.000000,8304.000000,2591.000000,308587.000000,24853.000000,31667599.000000,0.000000
96000272.000000,8341.000000,2677.000000,308506.000000,24806.000000,32000911.000000,0.000000
97000688.000000,8338.000000,2656.000000,308755.000000,24717.000000,32334383.000000,0.000000
98000048.000000,8280.000000,2632.000000,308266.000000,24853.000000,32667502.000000,0.000000
99000368.000000,8301.000000,2606.000000,308427.000000,25014.000000,33000943.000000,0.000000
100000208.000000,8370.000000,2778.000000,308770.000000,24510.000000,33334223.000000,0.000000
101000106.000000,8286.000000,2631.000000,308526.000000,24903.000000,33667652.000000,7.000000
102000234.000000,8301.000000,2641.000000,308475.000000,24902.000000,34001029.000000,0.000000
103000458.000000,8317.000000,2620.000000,308601.000000,24807.000000,34334437.000000,0.000000
104000010.000000,8276.000000,2627.000000,308185.000000,25000.000000,34667622.000000,0.000000
105000426.000000,8218.000000,2534.000000,308295.000000,25176.000000,35001093.000000,0.000000
106000458.000000,8292.000000,2661.000000,308471.000000,24873.000000,35334437.000000,0.000000
107000682.000000,8379.000000,2738.000000,308865.000000,24543.000000,35667845.000000,0.000000
108000138.000000,8309.000000,2652.000000,308466.000000,24686.000000,36000997.000000,0.000000
109000362.000000,8314.000000,2631.000000,308593.000000,24815.000000,36334405.000000,0.000000
110000490.000000,8282.000000,2573.000000,308309.000000,25067.000000,36667781.000000,0.000000
111000003.000000,8253.000000,2546.000000,308226.000000,24940.000000,37000947.000000,0.000000
112000170.000000,8223.000000,2519.000000,308246.000000,25148.000000,37334341.000000,0.000000
113000202.000000,8318.000000,2633.000000,308658.000000,24686.000000,37667685.000000,0.000000
114000234.000000,8284.000000,2561.000000,308439.000000,24905.000000,38001029.000000,0.000000
115000458.000000,8369.000000,2681.000000,308773.000000,24635.000000,38334437.000000,0.000000
116000490.000000,8393.000000,2710.000000,308930.000000,24414.000000,38667781.000000,0.000000
117000003.000000,8343.000000,2640.000000,308506.000000,24660.000000,39000947.000000,0.000000
118000074.000000,8395.000000,2736.000000,309057.000000,24305.000000,39334309.000000,0.000000
119000202.000000,8331.000000,2664.000000,308595.000000,24781.000000,39667685.000000,0.000000
120000138.000000,8294.000000,2597.000000,308271.000000,25041.000000,40000997.000000,0.000000
121000266.000000,8368.000000,2697.000000,308900.000000,24476.000000,40334373.000000,0.000000
122000303.000000,8352.000000,2693.000000,308603.000000,24741.000000,40667717.000000,0.000000
123000234.000000,8368.000000,2659.000000,308683.000000,24629.000000,41001029.000000,0.000000
124000035.000000,8326.000000,2636.000000,308487.000000,24775.000000,41334291.000000,0.000000
125000202.000000,8387.000000,2754.000000,308945.000000,24449.000000,41667685.000000,0.000000
126000047.000000,8346.000000,2705.000000,308614.000000,24666.000000,42000965.000000,0.000000
127000458.000000,8340.000000,2695.000000,308885.000000,24587.000000,42334437.000000,0.000000
128000394.000000,8325.000000,2670.000000,308514.000000,24798.000000,42667749.000000,0.000000
129000330.000000,8325.000000,2663.000000,308576.000000,24736.000000,43001061.000000,0.000000
130000458.000000,8369.000000,2695.000000,308904.000000,24472.000000,43334437.000000,0.000000
131000682.000000,8388.000000,2723.000000,308858.000000,24550.000000,43667845.000000,0.000000
132000003.000000,8387.000000,2726.000000,308719.000000,24383.000000,44000947.000000,0.000000
133000266.000000,8356.000000,2701.000000,308843.000000,24583.000000,44334373.000000,0.000000
134000298.000000,8368.000000,2711.000000,308765.000000,24579.000000,44667717.000000,0.000000
135000618.000000,8415.000000,2768.000000,308982.000000,24458.000000,45001157.000000,0.000000
136000650.000000,8313.000000,2623.000000,308520.000000,24824.000000,45334501.000000,0.000000
137000586.000000,8295.000000,2630.000000,308345.000000,24967.000000,45667813.000000,0.000000
138000522.000000,8369.000000,2711.000000,308735.000000,24577.000000,46001125.000000,0.000000
139000266.000000,8296.000000,2585.000000,308418.000000,24830.000000,46334373.000000,0.000000
140000394.000000,8381.000000,2734.000000,308881.000000,24495.000000,46667749.000000,0.000000
141000618.000000,8407.000000,2763.000000,309024.000000,24384.000000,47001157.000000,0.000000
142000362.000000,8361.000000,2709.000000,308625.000000,24623.000000,47334405.000000,0.000000
143000106.000000,8397.000000,2803.000000,308829.000000,24419.000000,47667653.000000,0.000000
144000522.000000,8341.000000,2685.000000,308667.000000,24805.000000,48001125.000000,0.000000
145000458.000000,8395.000000,2755.000000,308905.000000,24407.000000,48334437.000000,0.000000
146000010.000000,8312.000000,2679.000000,308430.000000,24754.000000,48667621.000000,0.000000
147000234.000000,8322.000000,2636.000000,308606.000000,24801.000000,49001028.000000,0.000000
148000035.000000,8306.000000,2679.000000,308440.000000,24823.000000,49334291.000000,0.000000
149000394.000000,8410.000000,2771.000000,309090.000000,24368.000000,49667749.000000,0.000000
