Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001262.000000,1091.000000,131.000000,365885.000000,4223.000000,370108.000000,39.000000
2001236.000000,1106.000000,94.000000,365027.000000,3647.000000,738782.000000,2.000000
3001112.000000,1140.000000,85.000000,365177.000000,3404.000000,1107363.000000,2.000000
4001131.000000,1143.000000,84.000000,365238.000000,3400.000000,1476001.000000,2.000000
5001021.000000,1173.000000,76.000000,365311.000000,3289.000000,1844601.000000,0.000000
6001099.000000,1168.000000,79.000000,365437.000000,3283.000000,2213321.000000,0.000000
7000881.000000,1185.000000,71.000000,365825.000000,3201.000000,2582347.000000,0.000000
8000154.000000,1142.000000,87.000000,361234.000000,3073.000000,2946654.000000,1.000000
9001242.000000,1143.000000,75.000000,360615.000000,3155.000000,3310424.000000,0.000000
10000381.000000,1123.000000,72.000000,359971.000000,3075.000000,3673470.000000,0.000000
11001985.000000,796.000000,45.000000,357049.000000,1751.000000,4032270.000000,25.000000
12006630.000000,426.000000,20.000000,355646.000000,453.000000,4388369.000000,228.000000
13008456.000000,250.000000,17.000000,355009.000000,301.000000,4743679.000000,124.000000
14002917.000000,240.000000,18.000000,352394.000000,270.000000,5096343.000000,83.000000
15007393.000000,262.000000,17.000000,356293.000000,272.000000,5452908.000000,95.000000
16003948.000000,297.000000,21.000000,357442.000000,306.000000,5810656.000000,105.000000
17001047.000000,243.000000,22.000000,353291.000000,263.000000,6164210.000000,103.000000
18009191.000000,248.000000,16.000000,357270.000000,265.000000,6521745.000000,82.000000
19002394.000000,275.000000,15.000000,351937.000000,282.000000,6873964.000000,97.000000
20001468.000000,284.000000,20.000000,358720.000000,265.000000,7232949.000000,99.000000
21003582.000000,347.000000,13.000000,353622.000000,406.000000,7586977.000000,166.000000
22001940.000000,275.000000,19.000000,353004.000000,350.000000,7940331.000000,126.000000
23001118.000000,244.000000,22.000000,352190.000000,317.000000,8292838.000000,99.000000
24000839.000000,291.000000,19.000000,352408.000000,371.000000,8645617.000000,91.000000
25009195.000000,274.000000,36.000000,355235.000000,364.000000,9001216.000000,121.000000
26000663.000000,388.000000,13.000000,349392.000000,391.000000,9350999.000000,143.000000
27003759.000000,282.000000,18.000000,353458.000000,332.000000,9704789.000000,154.000000
28005624.000000,257.000000,13.000000,353689.000000,276.000000,10058754.000000,99.000000
29002479.000000,275.000000,17.000000,351831.000000,322.000000,10410907.000000,91.000000
30000735.000000,255.000000,21.000000,352927.000000,334.000000,10764168.000000,92.000000
31000441.000000,397.000000,23.000000,351199.000000,462.000000,11115829.000000,154.000000
