Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000177.000000,3215.000000,137.000000,276741.000000,57359.000000,334100.000000,0.000000
2000305.000000,3295.000000,124.000000,276392.000000,56984.000000,667476.000000,0.000000
3000625.000000,3283.000000,113.000000,276344.000000,57096.000000,1000916.000000,0.000000
4000081.000000,3298.000000,132.000000,276248.000000,56904.000000,1334068.000000,0.000000
5000112.000000,3269.000000,132.000000,276161.000000,57184.000000,1667413.000000,0.000000
6000145.000000,3275.000000,123.000000,276207.000000,57136.000000,2000756.000000,0.000000
7000273.000000,3265.000000,110.000000,276152.000000,57224.000000,2334132.000000,0.000000
8000204.000000,3279.000000,116.000000,276217.000000,57096.000000,2667445.000000,0.000000
9000049.000000,3274.000000,117.000000,276144.000000,57135.000000,3000724.000000,0.000000
10000272.000000,3284.000000,126.000000,276329.000000,57080.000000,3334133.000000,0.000000
11000305.000000,3276.000000,116.000000,276215.000000,57128.000000,3667476.000000,0.000000
12000337.000000,3305.000000,122.000000,276448.000000,56896.000000,4000820.000000,0.000000
13000561.000000,3278.000000,122.000000,276280.000000,57128.000000,4334228.000000,0.000000
14000113.000000,3279.000000,112.000000,276120.000000,57064.000000,4667412.000000,0.000000
15000145.000000,3272.000000,129.000000,276184.000000,57160.000000,5000756.000000,0.000000
16000268.000000,3291.000000,116.000000,276359.000000,57016.000000,5334131.000000,0.000000
17000305.000000,3306.000000,121.000000,276457.000000,56888.000000,5667476.000000,0.000000
18000241.000000,3291.000000,106.000000,276312.000000,57000.000000,6000788.000000,0.000000
19000465.000000,3301.000000,119.000000,276464.000000,56944.000000,6334196.000000,0.000000
20000305.000000,3260.000000,123.000000,276040.000000,57240.000000,6667476.000000,0.000000
21000241.000000,3269.000000,124.000000,276136.000000,57176.000000,7000788.000000,0.000000
22000172.000000,3279.000000,130.000000,276210.000000,57103.000000,7334101.000000,0.000000
23000112.000000,3292.000000,116.000000,276320.000000,56992.000000,7667413.000000,0.000000
24000140.000000,3284.000000,115.000000,276278.000000,57064.000000,8000755.000000,0.000000
25000369.000000,3264.000000,123.000000,276169.000000,57240.000000,8334164.000000,0.000000
26000204.000000,3302.000000,115.000000,276375.000000,56904.000000,8667443.000000,0.000000
27000145.000000,3271.000000,111.000000,276153.000000,57160.000000,9000756.000000,0.000000
28000172.000000,3302.000000,131.000000,276424.000000,56920.000000,9334100.000000,0.000000
29000593.000000,3312.000000,113.000000,276600.000000,56872.000000,9667572.000000,0.000000
30000236.000000,3284.000000,120.000000,276177.000000,57039.000000,10000788.000000,0.000000
31000657.000000,3292.000000,107.000000,276440.000000,57032.000000,10334260.000000,0.000000
32000017.000000,3301.000000,110.000000,276248.000000,56872.000000,10667380.000000,0.000000
33000145.000000,3259.000000,115.000000,276104.000000,57272.000000,11000756.000000,0.000000
34000076.000000,3279.000000,120.000000,276215.000000,57096.000000,11334067.000000,0.000000
35000108.000000,3281.000000,118.000000,276257.000000,57088.000000,11667412.000000,0.000000
36000049.000000,3297.000000,112.000000,276360.000000,56952.000000,12000724.000000,0.000000
37000177.000000,3252.000000,123.000000,276048.000000,57328.000000,12334100.000000,0.000000
38000204.000000,3280.000000,129.000000,276247.000000,57096.000000,12667443.000000,0.000000
39000529.000000,3277.000000,125.000000,276297.000000,57144.000000,13000884.000000,0.000000
40000268.000000,3289.000000,112.000000,276249.000000,57000.000000,13334133.000000,0.000000
41000208.000000,3273.000000,110.000000,276168.000000,57144.000000,13667445.000000,0.000000
42000044.000000,3293.000000,115.000000,276302.000000,56976.000000,14000723.000000,0.000000
43000268.000000,3287.000000,121.000000,276353.000000,57056.000000,14334132.000000,0.000000
44000017.000000,3295.000000,123.000000,276296.000000,56952.000000,14667380.000000,0.000000
