Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001262.000000,605.000000,16.000000,364220.000000,5927.000000,370147.000000,3.000000
2001236.000000,634.000000,31.000000,363296.000000,5409.000000,738852.000000,1.000000
3004618.000000,618.000000,34.000000,364241.000000,5685.000000,1108778.000000,1.000000
4001131.000000,636.000000,21.000000,361965.000000,5405.000000,1476148.000000,3.000000
5002780.000000,627.000000,29.000000,363772.000000,5514.000000,1845434.000000,0.000000
6002799.000000,625.000000,20.000000,363128.000000,5586.000000,2214148.000000,0.000000
7001035.000000,634.000000,29.000000,363075.000000,5455.000000,2582678.000000,0.000000
8000207.000000,594.000000,20.000000,359026.000000,5277.000000,2946981.000000,0.000000
9003107.000000,618.000000,29.000000,359122.000000,5355.000000,3311458.000000,0.000000
10000334.000000,597.000000,17.000000,357125.000000,5251.000000,3673834.000000,0.000000
11015655.000000,336.000000,20.000000,360766.000000,2962.000000,4037562.000000,1.000000
12002046.000000,100.000000,9.000000,349023.000000,587.000000,4387172.000000,11.000000
13015271.000000,95.000000,6.000000,358952.000000,396.000000,4746520.000000,11.000000
14000633.000000,71.000000,8.000000,349062.000000,372.000000,5095954.000000,2.000000
15002903.000000,79.000000,8.000000,355384.000000,367.000000,5451705.000000,6.000000
16003948.000000,82.000000,11.000000,358910.000000,448.000000,5811063.000000,10.000000
17012483.000000,80.000000,8.000000,357248.000000,350.000000,6168661.000000,9.000000
18016119.000000,78.000000,9.000000,355616.000000,350.000000,6524627.000000,6.000000
19034180.000000,85.000000,10.000000,360690.000000,379.000000,6885696.000000,8.000000
20015296.000000,87.000000,8.000000,352189.000000,372.000000,7238257.000000,5.000000
21012801.000000,87.000000,10.000000,351890.000000,513.000000,7590660.000000,13.000000
22008727.000000,73.000000,9.000000,352076.000000,433.000000,7943169.000000,3.000000
23001241.000000,79.000000,13.000000,349796.000000,396.000000,8293361.000000,3.000000
24003140.000000,87.000000,17.000000,353104.000000,476.000000,8646941.000000,6.000000
25009195.000000,88.000000,15.000000,354305.000000,459.000000,9001705.000000,7.000000
26000689.000000,88.000000,4.000000,349292.000000,504.000000,9351501.000000,6.000000
27017053.000000,86.000000,12.000000,358189.000000,424.000000,9710114.000000,4.000000
28001087.000000,89.000000,9.000000,347220.000000,360.000000,10057694.000000,6.000000
29011600.000000,88.000000,13.000000,356581.000000,423.000000,10414698.000000,10.000000
30005306.000000,84.000000,7.000000,351264.000000,434.000000,10766396.000000,6.000000
31005002.000000,99.000000,5.000000,351164.000000,527.000000,11118087.000000,6.000000
32000984.000000,99.000000,7.000000,351796.000000,566.000000,11470449.000000,15.000000
33005464.000000,97.000000,8.000000,353978.000000,599.000000,11825026.000000,15.000000
34012467.000000,102.000000,1.000000,355916.000000,518.000000,12181460.000000,19.000000
35000100.000000,90.000000,3.000000,349989.000000,346.000000,12531795.000000,11.000000
36004128.000000,70.000000,6.000000,355291.000000,342.000000,12887428.000000,5.000000
37003230.000000,80.000000,8.000000,354746.000000,382.000000,13242556.000000,8.000000
38002331.000000,84.000000,10.000000,352152.000000,394.000000,13595102.000000,5.000000
39011273.000000,76.000000,6.000000,357297.000000,371.000000,13952770.000000,6.000000
40022187.000000,72.000000,11.000000,358062.000000,349.000000,14311181.000000,5.000000
41004322.000000,70.000000,5.000000,348105.000000,362.000000,14659648.000000,5.000000
42007619.000000,75.000000,10.000000,349419.000000,358.000000,15009425.000000,8.000000
43014802.000000,83.000000,9.000000,356386.000000,412.000000,15366223.000000,7.000000
44007248.000000,81.000000,7.000000,351179.000000,470.000000,15717872.000000,8.000000
45010919.000000,84.000000,9.000000,355427.000000,477.000000,16073776.000000,10.000000
46010091.000000,88.000000,8.000000,352546.000000,446.000000,16426768.000000,14.000000
47010954.000000,88.000000,11.000000,352970.000000,463.000000,16780201.000000,12.000000
48011580.000000,86.000000,8.000000,354859.000000,514.000000,17135574.000000,8.000000
49013249.000000,88.000000,7.000000,356995.000000,433.000000,17493002.000000,16.000000
50009666.000000,86.000000,10.000000,353718.000000,426.000000,17847146.000000,5.000000
51003484.000000,94.000000,7.000000,353008.000000,454.000000,18200608.000000,11.000000
52016114.000000,84.000000,15.000000,359960.000000,442.000000,18561010.000000,5.000000
