Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1004765.000000,3271.000000,6628.000000,358939.000000,3697.000000,362636.000000,2991.000000
2001731.000000,647.000000,1189.000000,334472.000000,1329.000000,698437.000000,544.000000
3001034.000000,651.000000,1153.000000,335209.000000,1339.000000,1034985.000000,547.000000
4002995.000000,647.000000,1145.000000,336127.000000,1332.000000,1372444.000000,544.000000
5000308.000000,649.000000,1147.000000,334585.000000,1332.000000,1708361.000000,546.000000
6004058.000000,647.000000,1178.000000,336711.000000,1344.000000,2046416.000000,546.000000
7001231.000000,649.000000,1136.000000,334536.000000,1328.000000,2382280.000000,545.000000
8000528.000000,648.000000,1155.000000,335200.000000,1341.000000,2718821.000000,546.000000
9002495.000000,649.000000,1160.000000,336155.000000,1332.000000,3056308.000000,546.000000
10000163.000000,648.000000,1161.000000,334676.000000,1336.000000,3392320.000000,546.000000
11003759.000000,650.000000,1166.000000,336697.000000,1336.000000,3730353.000000,546.000000
12000725.000000,646.000000,1136.000000,334441.000000,1328.000000,4066122.000000,544.000000
13000028.000000,650.000000,1168.000000,335236.000000,1340.000000,4402698.000000,547.000000
14001989.000000,648.000000,1138.000000,336144.000000,1331.000000,4740173.000000,544.000000
15001292.000000,650.000000,1170.000000,335230.000000,1338.000000,5076741.000000,548.000000
16003253.000000,648.000000,1134.000000,336133.000000,1330.000000,5414204.000000,544.000000
17000225.000000,647.000000,1166.000000,334452.000000,1336.000000,5749992.000000,545.000000
18003238.000000,651.000000,1141.000000,336476.000000,1336.000000,6087804.000000,547.000000
19001489.000000,647.000000,1157.000000,334871.000000,1334.000000,6424009.000000,545.000000
20000786.000000,650.000000,1146.000000,335245.000000,1334.000000,6760588.000000,546.000000
21002753.000000,646.000000,1190.000000,336121.000000,1344.000000,7098053.000000,546.000000
22000060.000000,649.000000,1115.000000,334585.000000,1322.000000,7433960.000000,545.000000
23004017.000000,649.000000,1170.000000,336780.000000,1347.000000,7772087.000000,547.000000
24000983.000000,647.000000,1147.000000,334465.000000,1327.000000,8107879.000000,543.000000
25000286.000000,650.000000,1169.000000,335209.000000,1341.000000,8444429.000000,548.000000
26002247.000000,648.000000,1150.000000,336157.000000,1330.000000,8781916.000000,544.000000
27001550.000000,650.000000,1154.000000,335204.000000,1338.000000,9118458.000000,547.000000
28002442.000000,647.000000,1167.000000,335793.000000,1335.000000,9455586.000000,545.000000
29000483.000000,648.000000,1139.000000,334821.000000,1331.000000,9791738.000000,545.000000
30002324.000000,650.000000,1163.000000,336093.000000,1336.000000,10129167.000000,547.000000
31001747.000000,648.000000,1144.000000,335284.000000,1332.000000,10465783.000000,545.000000
32001044.000000,649.000000,1158.000000,335228.000000,1338.000000,10802349.000000,546.000000
33003011.000000,649.000000,1149.000000,336131.000000,1333.000000,11139813.000000,546.000000
