Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000370.000000,5213.000000,200310.000000,292518.000000,41638.000000,334156.000000,23.000000
2000210.000000,5209.000000,202590.000000,291603.000000,41677.000000,667436.000000,0.000000
3000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,1000748.000000,0.000000
4000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,1334060.000000,0.000000
5000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,1667372.000000,0.000000
6000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,2000812.000000,0.000000
7000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,2334124.000000,0.000000
8000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,2667436.000000,0.000000
9000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,3000748.000000,0.000000
10000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,3334060.000000,0.000000
11000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,3667372.000000,0.000000
12000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,4000812.000000,0.000000
13000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,4334124.000000,0.000000
14000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,4667436.000000,0.000000
15000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,5000748.000000,0.000000
16000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,5334060.000000,0.000000
17000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,5667372.000000,0.000000
18000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,6000812.000000,0.000000
19000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,6334124.000000,0.000000
20000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,6667436.000000,0.000000
21000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,7000748.000000,0.000000
22000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,7334060.000000,0.000000
23000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,7667372.000000,0.000000
24000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,8000812.000000,0.000000
25000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,8334124.000000,0.000000
26000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,8667436.000000,0.000000
27000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,9000748.000000,0.000000
28000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,9334060.000000,0.000000
29000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,9667372.000000,0.000000
30000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,10000812.000000,0.000000
31000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,10334124.000000,0.000000
32000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,10667436.000000,0.000000
33000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,11000748.000000,0.000000
34000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,11334060.000000,0.000000
35000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,11667372.000000,0.000000
36000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,12000812.000000,0.000000
37000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,12334124.000000,0.000000
38000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,12667436.000000,0.000000
39000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,13000748.000000,0.000000
40000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,13334060.000000,0.000000
41000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,13667372.000000,0.000000
42000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,14000812.000000,0.000000
43000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,14334124.000000,0.000000
44000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,14667436.000000,0.000000
45000146.000000,5208.000000,203112.000000,291648.000000,41664.000000,15000748.000000,0.000000
46000082.000000,5208.000000,203112.000000,291648.000000,41664.000000,15334060.000000,0.000000
47000018.000000,5208.000000,203112.000000,291648.000000,41664.000000,15667372.000000,0.000000
48000338.000000,5210.000000,203190.000000,291760.000000,41680.000000,16000812.000000,0.000000
49000274.000000,5208.000000,203112.000000,291648.000000,41664.000000,16334124.000000,0.000000
50000210.000000,5208.000000,203112.000000,291648.000000,41664.000000,16667436.000000,0.000000
51000278.000000,5219.000000,202781.000000,291862.000000,41627.000000,17000925.000000,14.000000
52000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,17334237.000000,0.000000
53000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,17667549.000000,0.000000
54000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,18000861.000000,0.000000
55000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,18334173.000000,0.000000
56000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,18667613.000000,0.000000
57000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,19000925.000000,0.000000
58000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,19334237.000000,0.000000
59000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,19667549.000000,0.000000
60000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,20000861.000000,0.000000
61000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,20334173.000000,0.000000
62000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,20667613.000000,0.000000
63000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,21000925.000000,0.000000
64000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,21334237.000000,0.000000
65000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,21667549.000000,0.000000
66000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,22000861.000000,0.000000
67000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,22334173.000000,0.000000
68000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,22667613.000000,0.000000
69000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,23000925.000000,0.000000
70000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,23334237.000000,0.000000
71000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,23667549.000000,0.000000
72000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,24000861.000000,0.000000
73000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,24334173.000000,0.000000
74000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,24667613.000000,0.000000
75000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,25000925.000000,0.000000
76000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,25334237.000000,0.000000
77000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,25667549.000000,0.000000
78000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,26000861.000000,0.000000
79000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,26334173.000000,0.000000
80000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,26667613.000000,0.000000
81000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,27000925.000000,0.000000
82000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,27334237.000000,0.000000
83000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,27667549.000000,0.000000
84000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,28000861.000000,0.000000
85000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,28334173.000000,0.000000
86000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,28667613.000000,0.000000
87000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,29000925.000000,0.000000
88000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,29334237.000000,0.000000
89000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,29667549.000000,0.000000
90000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,30000861.000000,0.000000
91000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,30334173.000000,0.000000
92000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,30667613.000000,0.000000
93000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,31000925.000000,0.000000
94000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,31334237.000000,0.000000
95000150.000000,5208.000000,203112.000000,291648.000000,41664.000000,31667549.000000,0.000000
96000086.000000,5208.000000,203112.000000,291648.000000,41664.000000,32000861.000000,0.000000
97000022.000000,5208.000000,203112.000000,291648.000000,41664.000000,32334173.000000,0.000000
98000342.000000,5210.000000,203190.000000,291760.000000,41680.000000,32667613.000000,0.000000
99000278.000000,5208.000000,203112.000000,291648.000000,41664.000000,33000925.000000,0.000000
100000214.000000,5208.000000,203112.000000,291648.000000,41664.000000,33334237.000000,0.000000
101000016.000000,5211.000000,202714.000000,291779.000000,41619.000000,33667635.000000,9.000000
102000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,34001075.000000,0.000000
103000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,34334387.000000,0.000000
104000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,34667699.000000,0.000000
105000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,35001011.000000,0.000000
106000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,35334323.000000,0.000000
107000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,35667635.000000,0.000000
108000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,36001075.000000,0.000000
109000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,36334387.000000,0.000000
110000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,36667699.000000,0.000000
111000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,37001011.000000,0.000000
112000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,37334323.000000,0.000000
113000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,37667635.000000,0.000000
114000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,38001075.000000,0.000000
115000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,38334387.000000,0.000000
116000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,38667699.000000,0.000000
117000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,39001011.000000,0.000000
118000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,39334323.000000,0.000000
119000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,39667635.000000,0.000000
120000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,40001075.000000,0.000000
121000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,40334387.000000,0.000000
122000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,40667699.000000,0.000000
123000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,41001011.000000,0.000000
124000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,41334323.000000,0.000000
125000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,41667635.000000,0.000000
126000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,42001075.000000,0.000000
127000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,42334387.000000,0.000000
128000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,42667699.000000,0.000000
129000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,43001011.000000,0.000000
130000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,43334323.000000,0.000000
131000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,43667635.000000,0.000000
132000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,44001075.000000,0.000000
133000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,44334387.000000,0.000000
134000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,44667699.000000,0.000000
135000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,45001011.000000,0.000000
136000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,45334323.000000,0.000000
137000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,45667635.000000,0.000000
138000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,46001075.000000,0.000000
139000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,46334387.000000,0.000000
140000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,46667699.000000,0.000000
141000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,47001011.000000,0.000000
142000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,47334323.000000,0.000000
143000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,47667635.000000,0.000000
144000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,48001075.000000,0.000000
145000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,48334387.000000,0.000000
146000208.000000,5208.000000,203112.000000,291648.000000,41664.000000,48667699.000000,0.000000
147000144.000000,5208.000000,203112.000000,291648.000000,41664.000000,49001011.000000,0.000000
148000080.000000,5208.000000,203112.000000,291648.000000,41664.000000,49334323.000000,0.000000
149000016.000000,5208.000000,203112.000000,291648.000000,41664.000000,49667635.000000,0.000000
150000336.000000,5210.000000,203190.000000,291760.000000,41680.000000,50001075.000000,0.000000
151000272.000000,5208.000000,203112.000000,291648.000000,41664.000000,50334387.000000,0.000000
152000291.000000,5211.000000,202706.000000,291780.000000,41615.000000,50667782.000000,8.000000
153000227.000000,5208.000000,203112.000000,291648.000000,41664.000000,51001094.000000,0.000000
154000163.000000,5208.000000,203112.000000,291648.000000,41664.000000,51334406.000000,0.000000
155000099.000000,5208.000000,203112.000000,291648.000000,41664.000000,51667718.000000,0.000000
156000035.000000,5208.000000,203112.000000,291648.000000,41664.000000,52001030.000000,0.000000
157000355.000000,5210.000000,203190.000000,291760.000000,41680.000000,52334470.000000,0.000000
158000291.000000,5208.000000,203112.000000,291648.000000,41664.000000,52667782.000000,0.000000
159000227.000000,5208.000000,203112.000000,291648.000000,41664.000000,53001094.000000,0.000000
160000163.000000,5208.000000,203112.000000,291648.000000,41664.000000,53334406.000000,0.000000
161000099.000000,5208.000000,203112.000000,291648.000000,41664.000000,53667718.000000,0.000000
162000035.000000,5208.000000,203112.000000,291648.000000,41664.000000,54001030.000000,0.000000
163000355.000000,5210.000000,203190.000000,291760.000000,41680.000000,54334470.000000,0.000000
164000291.000000,5208.000000,203112.000000,291648.000000,41664.000000,54667782.000000,0.000000
165000227.000000,5208.000000,203112.000000,291648.000000,41664.000000,55001094.000000,0.000000
166000163.000000,5208.000000,203112.000000,291648.000000,41664.000000,55334406.000000,0.000000
167000099.000000,5208.000000,203112.000000,291648.000000,41664.000000,55667718.000000,0.000000
168000035.000000,5208.000000,203112.000000,291648.000000,41664.000000,56001030.000000,0.000000
169000355.000000,5210.000000,203190.000000,291760.000000,41680.000000,56334470.000000,0.000000
170000291.000000,5208.000000,203112.000000,291648.000000,41664.000000,56667782.000000,0.000000
171000227.000000,5208.000000,203112.000000,291648.000000,41664.000000,57001094.000000,0.000000
172000163.000000,5208.000000,203112.000000,291648.000000,41664.000000,57334406.000000,0.000000
173000099.000000,5208.000000,203112.000000,291648.000000,41664.000000,57667718.000000,0.000000
174000035.000000,5208.000000,203112.000000,291648.000000,41664.000000,58001030.000000,0.000000
175000355.000000,5210.000000,203190.000000,291760.000000,41680.000000,58334470.000000,0.000000
176000291.000000,5208.000000,203112.000000,291648.000000,41664.000000,58667782.000000,0.000000
177000227.000000,5208.000000,203112.000000,291648.000000,41664.000000,59001094.000000,0.000000
178000163.000000,5208.000000,203112.000000,291648.000000,41664.000000,59334406.000000,0.000000
179000099.000000,5208.000000,203112.000000,291648.000000,41664.000000,59667718.000000,0.000000
180000035.000000,5208.000000,203112.000000,291648.000000,41664.000000,60001030.000000,0.000000
