Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001262.000000,1442.000000,2790.000000,367569.000000,2511.000000,370080.000000,26.000000
2001309.000000,1402.000000,2285.000000,366430.000000,2259.000000,738769.000000,15.000000
3002830.000000,1374.000000,2238.000000,366858.000000,2295.000000,1107922.000000,7.000000
4004640.000000,1382.000000,2299.000000,367016.000000,2270.000000,1477208.000000,15.000000
5002725.000000,1381.000000,2071.000000,365670.000000,2217.000000,1845095.000000,15.000000
6001043.000000,1392.000000,2111.000000,365849.000000,2182.000000,2213126.000000,15.000000
7002569.000000,1402.000000,2284.000000,367442.000000,2225.000000,2582793.000000,17.000000
8000227.000000,1324.000000,2154.000000,361547.000000,2145.000000,2946485.000000,10.000000
9003133.000000,1347.000000,2209.000000,362287.000000,2126.000000,3310898.000000,19.000000
10000407.000000,1303.000000,2177.000000,360167.000000,2164.000000,3673229.000000,18.000000
11006557.000000,766.000000,1168.000000,359135.000000,1281.000000,4033645.000000,15.000000
12002046.000000,245.000000,239.000000,352411.000000,408.000000,4386464.000000,13.000000
13001459.000000,225.000000,248.000000,354214.000000,251.000000,4740929.000000,31.000000
14018980.000000,185.000000,192.000000,360603.000000,223.000000,5101755.000000,30.000000
15011966.000000,188.000000,188.000000,352277.000000,232.000000,5454264.000000,19.000000
16026809.000000,246.000000,173.000000,363944.000000,274.000000,5818482.000000,24.000000
17007876.000000,210.000000,188.000000,347622.000000,207.000000,6166311.000000,44.000000
18011525.000000,179.000000,241.000000,355731.000000,228.000000,6522270.000000,28.000000
19009101.000000,190.000000,169.000000,353543.000000,250.000000,6876063.000000,18.000000
20019962.000000,199.000000,208.000000,362866.000000,264.000000,7239193.000000,14.000000
21008174.000000,189.000000,187.000000,348751.000000,327.000000,7588271.000000,15.000000
22047899.000000,199.000000,187.000000,367702.000000,294.000000,7956267.000000,5.000000
23012628.000000,174.000000,234.000000,340066.000000,253.000000,8296586.000000,2.000000
24021574.000000,176.000000,200.000000,355714.000000,341.000000,8652641.000000,1.000000
25014527.000000,178.000000,260.000000,349679.000000,310.000000,9002630.000000,1.000000
26023697.000000,195.000000,221.000000,355743.000000,363.000000,9358736.000000,2.000000
27003785.000000,184.000000,183.000000,345453.000000,274.000000,9704463.000000,2.000000
28001087.000000,186.000000,178.000000,352132.000000,251.000000,10056846.000000,3.000000
29002397.000000,177.000000,177.000000,353474.000000,264.000000,10410584.000000,1.000000
30000761.000000,180.000000,221.000000,353027.000000,293.000000,10763904.000000,0.000000
31000441.000000,212.000000,233.000000,351231.000000,394.000000,11115529.000000,3.000000
32000984.000000,198.000000,213.000000,353602.000000,418.000000,11469549.000000,14.000000
