Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000031.000000,8699.000000,45257.000000,316025.000000,18024.000000,334049.000000,9.000000
2000300.000000,8732.000000,45445.000000,315560.000000,17867.000000,667476.000000,0.000000
3000332.000000,8738.000000,45786.000000,315336.000000,18008.000000,1000820.000000,0.000000
4000076.000000,8716.000000,45689.000000,315404.000000,17844.000000,1334068.000000,0.000000
5000300.000000,8719.000000,45930.000000,315488.000000,17920.000000,1667476.000000,0.000000
6000044.000000,8720.000000,45954.000000,315278.000000,17970.000000,2000724.000000,0.000000
7000076.000000,8707.000000,45828.000000,315469.000000,17875.000000,2334068.000000,0.000000
8000018.000000,8721.000000,45735.000000,315428.000000,17886.000000,2667382.000000,0.000000
9000044.000000,8715.000000,46251.000000,315382.000000,17960.000000,3000724.000000,0.000000
10000268.000000,8715.000000,45771.000000,315506.000000,17902.000000,3334132.000000,0.000000
11000012.000000,8719.000000,46096.000000,315276.000000,17973.000000,3667381.000000,0.000000
12000050.000000,8710.000000,45916.000000,315426.000000,17919.000000,4000726.000000,0.000000
13000037.000000,8725.000000,45552.000000,315483.000000,17841.000000,4334050.000000,0.000000
14000396.000000,8717.000000,45953.000000,315547.000000,17911.000000,4667508.000000,0.000000
15000236.000000,8715.000000,46059.000000,315311.000000,17969.000000,5000788.000000,0.000000
16000274.000000,8711.000000,46167.000000,315383.000000,17963.000000,5334134.000000,0.000000
17000012.000000,8720.000000,45740.000000,315364.000000,17882.000000,5667380.000000,0.000000
18000005.000000,8716.000000,45843.000000,315454.000000,17872.000000,6000706.000000,0.000000
19000076.000000,8714.000000,45746.000000,315462.000000,17900.000000,6334068.000000,0.000000
20000204.000000,8717.000000,46264.000000,315362.000000,18014.000000,6667444.000000,0.000000
21000332.000000,8716.000000,45808.000000,315484.000000,17892.000000,7000820.000000,0.000000
22000076.000000,8721.000000,45508.000000,315425.000000,17824.000000,7334069.000000,0.000000
23000012.000000,8717.000000,46146.000000,315357.000000,17955.000000,7667381.000000,0.000000
24000005.000000,8706.000000,46024.000000,315377.000000,17948.000000,8000706.000000,0.000000
25000172.000000,8727.000000,46156.000000,315399.000000,17995.000000,8334100.000000,0.000000
26000012.000000,8710.000000,45667.000000,315426.000000,17854.000000,8667380.000000,0.000000
27000005.000000,8721.000000,45794.000000,315447.000000,17879.000000,9000706.000000,0.000000
28000364.000000,8712.000000,45841.000000,315571.000000,17887.000000,9334164.000000,0.000000
29000306.000000,8723.000000,46088.000000,315311.000000,18003.000000,9667478.000000,0.000000
30000524.000000,8713.000000,45775.000000,315536.000000,17870.000000,10000884.000000,0.000000
31000364.000000,8717.000000,45751.000000,315392.000000,17888.000000,10334164.000000,0.000000
32000012.000000,8712.000000,46193.000000,315267.000000,17949.000000,10667380.000000,0.000000
33000242.000000,8715.000000,45817.000000,315508.000000,17902.000000,11000790.000000,0.000000
34000037.000000,8722.000000,46072.000000,315287.000000,17973.000000,11334050.000000,0.000000
35000396.000000,8713.000000,45945.000000,315525.000000,17933.000000,11667508.000000,0.000000
36000332.000000,8719.000000,45531.000000,315481.000000,17831.000000,12000820.000000,0.000000
37000652.000000,8715.000000,45991.000000,315519.000000,17920.000000,12334259.000000,0.000000
38000396.000000,8720.000000,46041.000000,315286.000000,17963.000000,12667508.000000,0.000000
