Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1004698.000000,950.000000,467.000000,366777.000000,4615.000000,371392.000000,15.000000
2002954.000000,933.000000,446.000000,363839.000000,4222.000000,739453.000000,0.000000
3004565.000000,925.000000,417.000000,364957.000000,4291.000000,1108701.000000,0.000000
4001182.000000,917.000000,430.000000,363182.000000,4230.000000,1476113.000000,0.000000
5007927.000000,908.000000,391.000000,366780.000000,4355.000000,1847248.000000,0.000000
6001026.000000,887.000000,320.000000,361715.000000,4432.000000,2213395.000000,0.000000
7006126.000000,894.000000,367.000000,366598.000000,4438.000000,2584431.000000,0.000000
8007460.000000,822.000000,313.000000,360671.000000,4374.000000,2949476.000000,0.000000
9001242.000000,828.000000,327.000000,356792.000000,4366.000000,3310634.000000,1.000000
10000382.000000,830.000000,329.000000,358747.000000,4325.000000,3673706.000000,1.000000
11011095.000000,472.000000,174.000000,359665.000000,2456.000000,4035827.000000,0.000000
12002046.000000,129.000000,4.000000,350651.000000,559.000000,4387037.000000,2.000000
13028957.000000,129.000000,7.000000,363851.000000,383.000000,4751271.000000,0.000000
14018980.000000,108.000000,0.000000,350735.000000,350.000000,5102356.000000,0.000000
15007393.000000,108.000000,0.000000,350544.000000,326.000000,5453226.000000,0.000000
16036016.000000,123.000000,1.000000,368793.000000,409.000000,5822428.000000,0.000000
17026140.000000,110.000000,2.000000,350760.000000,324.000000,6173512.000000,2.000000
18016119.000000,108.000000,0.000000,350796.000000,326.000000,6524634.000000,1.000000
19006877.000000,111.000000,1.000000,351021.000000,353.000000,6876008.000000,0.000000
20033635.000000,116.000000,0.000000,368413.000000,365.000000,7244786.000000,0.000000
21031139.000000,111.000000,5.000000,351897.000000,458.000000,7597141.000000,0.000000
22022519.000000,111.000000,1.000000,350552.000000,399.000000,7948092.000000,0.000000
23021826.000000,112.000000,0.000000,352210.000000,402.000000,8300704.000000,0.000000
24021574.000000,112.000000,0.000000,352373.000000,440.000000,8653517.000000,0.000000
25023317.000000,108.000000,0.000000,352819.000000,426.000000,9006762.000000,0.000000
26023697.000000,114.000000,2.000000,352475.000000,479.000000,9359716.000000,0.000000
27021635.000000,112.000000,0.000000,351768.000000,398.000000,9711882.000000,0.000000
28019428.000000,116.000000,4.000000,352108.000000,358.000000,10064348.000000,0.000000
29016214.000000,115.000000,1.000000,351687.000000,391.000000,10416426.000000,0.000000
30009921.000000,112.000000,0.000000,351316.000000,400.000000,10768142.000000,0.000000
31014233.000000,111.000000,1.000000,352828.000000,516.000000,11121486.000000,0.000000
32005580.000000,126.000000,5.000000,350250.000000,520.000000,11472256.000000,0.000000
33000879.000000,116.000000,0.000000,350746.000000,565.000000,11823567.000000,0.000000
34030659.000000,117.000000,0.000000,364037.000000,540.000000,12188144.000000,0.000000
35020781.000000,108.000000,0.000000,350845.000000,351.000000,12539340.000000,0.000000
36013360.000000,108.000000,0.000000,351256.000000,314.000000,12890910.000000,0.000000
37034512.000000,113.000000,0.000000,362744.000000,344.000000,13253998.000000,0.000000
38029780.000000,116.000000,0.000000,350704.000000,357.000000,13605059.000000,0.000000
39020471.000000,108.000000,0.000000,350833.000000,324.000000,13956216.000000,2.000000
