Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1004765.000000,3665.000000,2958.000000,359103.000000,3490.000000,362593.000000,3198.000000
2001731.000000,1706.000000,785.000000,334476.000000,1315.000000,698384.000000,1496.000000
3001034.000000,1717.000000,794.000000,335207.000000,1325.000000,1034916.000000,1505.000000
4002995.000000,1708.000000,784.000000,336132.000000,1316.000000,1372364.000000,1496.000000
5000308.000000,1710.000000,785.000000,334584.000000,1317.000000,1708265.000000,1500.000000
6004058.000000,1715.000000,790.000000,336716.000000,1324.000000,2046305.000000,1503.000000
7001231.000000,1708.000000,791.000000,334530.000000,1319.000000,2382154.000000,1498.000000
8000528.000000,1715.000000,786.000000,335211.000000,1320.000000,2718685.000000,1503.000000
9002495.000000,1710.000000,788.000000,336157.000000,1319.000000,3056161.000000,1500.000000
10000135.000000,1710.000000,787.000000,334669.000000,1318.000000,3392148.000000,1500.000000
11003759.000000,1715.000000,789.000000,336703.000000,1322.000000,3730173.000000,1503.000000
12000725.000000,1706.000000,782.000000,334442.000000,1314.000000,4065929.000000,1496.000000
13000028.000000,1717.000000,790.000000,335241.000000,1323.000000,4402493.000000,1505.000000
14001989.000000,1708.000000,786.000000,336141.000000,1317.000000,4739951.000000,1496.000000
15001292.000000,1717.000000,788.000000,335235.000000,1322.000000,5076508.000000,1507.000000
16003253.000000,1708.000000,784.000000,336132.000000,1316.000000,5413956.000000,1496.000000
17000225.000000,1708.000000,792.000000,334458.000000,1319.000000,5749733.000000,1498.000000
18003238.000000,1717.000000,787.000000,336474.000000,1322.000000,6087529.000000,1505.000000
19001489.000000,1708.000000,789.000000,334876.000000,1318.000000,6423723.000000,1498.000000
20000786.000000,1715.000000,784.000000,335245.000000,1319.000000,6760287.000000,1503.000000
21002753.000000,1710.000000,795.000000,336130.000000,1324.000000,7097741.000000,1500.000000
22000060.000000,1708.000000,781.000000,334577.000000,1314.000000,7433632.000000,1498.000000
23004017.000000,1717.000000,793.000000,336790.000000,1325.000000,7771747.000000,1505.000000
24000983.000000,1706.000000,783.000000,334465.000000,1314.000000,8107526.000000,1495.000000
25000286.000000,1717.000000,792.000000,335213.000000,1324.000000,8444063.000000,1506.000000
26002247.000000,1708.000000,784.000000,336157.000000,1316.000000,8781536.000000,1496.000000
27000218.000000,1716.000000,788.000000,334757.000000,1321.000000,9117614.000000,1504.000000
28002442.000000,1709.000000,789.000000,336244.000000,1320.000000,9455178.000000,1499.000000
29000483.000000,1708.000000,787.000000,334819.000000,1317.000000,9791314.000000,1498.000000
30002324.000000,1717.000000,783.000000,336094.000000,1320.000000,10128728.000000,1505.000000
31001747.000000,1708.000000,789.000000,335282.000000,1318.000000,10465328.000000,1498.000000
32001044.000000,1715.000000,789.000000,335235.000000,1321.000000,10801884.000000,1503.000000
33003011.000000,1710.000000,788.000000,336131.000000,1319.000000,11139334.000000,1500.000000
