Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1000268.000000,6930.000000,47704.000000,305479.000000,28639.000000,334118.000000,101.000000
2000012.000000,6834.000000,47838.000000,304608.000000,28640.000000,667366.000000,0.000000
3000044.000000,6836.000000,47852.000000,304696.000000,28648.000000,1000710.000000,0.000000
4000268.000000,6838.000000,47866.000000,304760.000000,28648.000000,1334118.000000,0.000000
5000012.000000,6834.000000,47838.000000,304608.000000,28640.000000,1667366.000000,0.000000
6000044.000000,6836.000000,47852.000000,304696.000000,28648.000000,2000710.000000,0.000000
7000076.000000,6836.000000,47852.000000,304696.000000,28648.000000,2334054.000000,0.000000
8000012.000000,6836.000000,47852.000000,304672.000000,28640.000000,2667366.000000,0.000000
9000044.000000,6836.000000,47852.000000,304696.000000,28648.000000,3000710.000000,0.000000
10000076.000000,6836.000000,47852.000000,304696.000000,28648.000000,3334054.000000,0.000000
11000108.000000,6836.000000,47852.000000,304696.000000,28648.000000,3667398.000000,0.000000
12000044.000000,6836.000000,47852.000000,304672.000000,28640.000000,4000710.000000,0.000000
13000076.000000,6836.000000,47852.000000,304696.000000,28648.000000,4334054.000000,0.000000
14000108.000000,6836.000000,47852.000000,304696.000000,28648.000000,4667398.000000,0.000000
15000140.000000,6836.000000,47852.000000,304696.000000,28648.000000,5000742.000000,0.000000
16000076.000000,6836.000000,47852.000000,304672.000000,28640.000000,5334054.000000,0.000000
17000108.000000,6836.000000,47852.000000,304696.000000,28648.000000,5667398.000000,0.000000
18000140.000000,6836.000000,47852.000000,304696.000000,28648.000000,6000742.000000,0.000000
19000172.000000,6836.000000,47852.000000,304696.000000,28648.000000,6334086.000000,0.000000
20000204.000000,6836.000000,47852.000000,304695.000000,28648.000000,6667429.000000,0.000000
21000140.000000,6836.000000,47852.000000,304673.000000,28640.000000,7000742.000000,0.000000
22000172.000000,6836.000000,47852.000000,304696.000000,28648.000000,7334086.000000,0.000000
23000204.000000,6836.000000,47852.000000,304696.000000,28648.000000,7667430.000000,0.000000
24000236.000000,6836.000000,47852.000000,304696.000000,28648.000000,8000774.000000,0.000000
25000172.000000,6836.000000,47852.000000,304672.000000,28640.000000,8334086.000000,0.000000
26000204.000000,6836.000000,47852.000000,304696.000000,28648.000000,8667430.000000,0.000000
27000236.000000,6836.000000,47852.000000,304696.000000,28648.000000,9000774.000000,0.000000
28000268.000000,6836.000000,47852.000000,304696.000000,28648.000000,9334118.000000,0.000000
29000204.000000,6836.000000,47852.000000,304672.000000,28640.000000,9667430.000000,0.000000
30000236.000000,6836.000000,47852.000000,304696.000000,28648.000000,10000774.000000,0.000000
31000268.000000,6836.000000,47852.000000,304696.000000,28648.000000,10334118.000000,0.000000
32000012.000000,6834.000000,47838.000000,304608.000000,28640.000000,10667366.000000,0.000000
33000236.000000,6838.000000,47866.000000,304760.000000,28648.000000,11000774.000000,0.000000
34000268.000000,6836.000000,47852.000000,304696.000000,28648.000000,11334118.000000,0.000000
35000012.000000,6834.000000,47838.000000,304608.000000,28640.000000,11667366.000000,0.000000
36000044.000000,6836.000000,47852.000000,304696.000000,28648.000000,12000710.000000,0.000000
37000268.000000,6838.000000,47866.000000,304760.000000,28648.000000,12334118.000000,0.000000
38000012.000000,6834.000000,47838.000000,304608.000000,28640.000000,12667366.000000,0.000000
39000044.000000,6836.000000,47852.000000,304696.000000,28648.000000,13000710.000000,0.000000
