Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
1001227.000000,1445.000000,2881.000000,367648.000000,2428.000000,370076.000000,111.000000
2001236.000000,1307.000000,2605.000000,366470.000000,2203.000000,738749.000000,8.000000
3001112.000000,1294.000000,2672.000000,366350.000000,2225.000000,1107324.000000,3.000000
4001131.000000,1304.000000,2496.000000,366478.000000,2148.000000,1475950.000000,11.000000
5001080.000000,1295.000000,2645.000000,366360.000000,2261.000000,1844571.000000,0.000000
6001099.000000,1302.000000,2407.000000,366545.000000,2123.000000,2213239.000000,7.000000
7000881.000000,1293.000000,2761.000000,366725.000000,2291.000000,2582255.000000,2.000000
8001989.000000,1242.000000,2320.000000,362866.000000,2104.000000,2947225.000000,5.000000
9001242.000000,1238.000000,2343.000000,360989.000000,2114.000000,3310328.000000,7.000000
10002164.000000,1228.000000,2524.000000,361485.000000,2192.000000,3674005.000000,0.000000
11001985.000000,984.000000,1199.000000,356891.000000,1262.000000,4032158.000000,91.000000
12008914.000000,678.000000,110.000000,356497.000000,407.000000,4389062.000000,459.000000
13001459.000000,363.000000,117.000000,351766.000000,255.000000,4741083.000000,223.000000
14000757.000000,346.000000,136.000000,354134.000000,251.000000,5095468.000000,149.000000
15011883.000000,388.000000,92.000000,358678.000000,248.000000,5454394.000000,190.000000
16010810.000000,448.000000,97.000000,358352.000000,284.000000,5813030.000000,200.000000
17001047.000000,353.000000,90.000000,350891.000000,230.000000,6164151.000000,210.000000
18007053.000000,350.000000,113.000000,356542.000000,238.000000,6520931.000000,148.000000
19002394.000000,399.000000,117.000000,352708.000000,267.000000,6873906.000000,196.000000
20001468.000000,414.000000,67.000000,358712.000000,249.000000,7232867.000000,196.000000
21001247.000000,624.000000,139.000000,352847.000000,396.000000,7586110.000000,397.000000
22001934.000000,627.000000,130.000000,353747.000000,394.000000,7940251.000000,422.000000
23001118.000000,520.000000,141.000000,352179.000000,338.000000,8292768.000000,380.000000
24000839.000000,638.000000,136.000000,352395.000000,396.000000,8645559.000000,395.000000
25009195.000000,687.000000,155.000000,355138.000000,436.000000,9001133.000000,496.000000
26000663.000000,628.000000,118.000000,349415.000000,386.000000,9350934.000000,400.000000
27003759.000000,590.000000,90.000000,353475.000000,353.000000,9704762.000000,415.000000
28014846.000000,472.000000,94.000000,356909.000000,292.000000,10061963.000000,283.000000
29002373.000000,556.000000,101.000000,348497.000000,337.000000,10410797.000000,348.000000
30000735.000000,593.000000,138.000000,352945.000000,376.000000,10764118.000000,388.000000
31000441.000000,735.000000,120.000000,351217.000000,444.000000,11115779.000000,483.000000
32000958.000000,717.000000,85.000000,353555.000000,417.000000,11469751.000000,523.000000
33000879.000000,763.000000,76.000000,352483.000000,434.000000,11822668.000000,544.000000
34012467.000000,648.000000,106.000000,357690.000000,387.000000,12180745.000000,475.000000
35000100.000000,340.000000,86.000000,350093.000000,223.000000,12531061.000000,208.000000
36004128.000000,367.000000,98.000000,355387.000000,240.000000,12886688.000000,159.000000
37001014.000000,368.000000,81.000000,354079.000000,231.000000,13240998.000000,187.000000
38002307.000000,445.000000,103.000000,353125.000000,290.000000,13594413.000000,197.000000
39002157.000000,346.000000,85.000000,354214.000000,224.000000,13948851.000000,202.000000
40003755.000000,352.000000,99.000000,354895.000000,232.000000,14303978.000000,149.000000
41002056.000000,390.000000,80.000000,353935.000000,249.000000,14658162.000000,191.000000
42007595.000000,381.000000,113.000000,350313.000000,258.000000,15008733.000000,183.000000
43001050.000000,494.000000,97.000000,351558.000000,313.000000,15360604.000000,265.000000
44000369.000000,533.000000,140.000000,353762.000000,352.000000,15714718.000000,314.000000
45006168.000000,523.000000,121.000000,356290.000000,338.000000,16071346.000000,314.000000
46000923.000000,519.000000,67.000000,351148.000000,307.000000,16422801.000000,341.000000
47001732.000000,524.000000,109.000000,353089.000000,334.000000,16776224.000000,301.000000
48000703.000000,631.000000,154.000000,354320.000000,407.000000,17130951.000000,450.000000
49006333.000000,689.000000,119.000000,358478.000000,418.000000,17489847.000000,481.000000
50000335.000000,531.000000,99.000000,352952.000000,323.000000,17843122.000000,349.000000
51001157.000000,733.000000,122.000000,355513.000000,447.000000,18199082.000000,490.000000
52002279.000000,653.000000,108.000000,355976.000000,389.000000,18555447.000000,476.000000
53007379.000000,592.000000,117.000000,356597.000000,366.000000,18912410.000000,388.000000
54004482.000000,664.000000,146.000000,354256.000000,419.000000,19267085.000000,458.000000
55000531.000000,463.000000,88.000000,353968.000000,285.000000,19621338.000000,291.000000
56001809.000000,600.000000,145.000000,356296.000000,387.000000,19978021.000000,383.000000
57000146.000000,551.000000,130.000000,355027.000000,353.000000,20333401.000000,354.000000
58005831.000000,689.000000,130.000000,351120.000000,422.000000,20684943.000000,472.000000
59001820.000000,630.000000,99.000000,349493.000000,377.000000,21034813.000000,399.000000
60000163.000000,706.000000,121.000000,352627.000000,431.000000,21387871.000000,488.000000
61000572.000000,660.000000,64.000000,351596.000000,382.000000,21739849.000000,472.000000
62001555.000000,741.000000,110.000000,352609.000000,443.000000,22092901.000000,517.000000
63004727.000000,692.000000,126.000000,349695.000000,428.000000,22443024.000000,500.000000
64002795.000000,549.000000,76.000000,351674.000000,330.000000,22795028.000000,366.000000
65002581.000000,560.000000,111.000000,353831.000000,346.000000,23149205.000000,350.000000
66003317.000000,617.000000,90.000000,353051.000000,366.000000,23502622.000000,423.000000
67000039.000000,532.000000,98.000000,354222.000000,327.000000,23857171.000000,333.000000
68001432.000000,624.000000,99.000000,355042.000000,372.000000,24212585.000000,398.000000
69003553.000000,433.000000,87.000000,355107.000000,275.000000,24567967.000000,291.000000
70000633.000000,345.000000,63.000000,353329.000000,214.000000,24921510.000000,178.000000
71002588.000000,400.000000,74.000000,355024.000000,246.000000,25276780.000000,175.000000
72004187.000000,351.000000,62.000000,358539.000000,214.000000,25635533.000000,174.000000
73005518.000000,463.000000,92.000000,355992.000000,291.000000,25991816.000000,236.000000
74009109.000000,340.000000,103.000000,355614.000000,228.000000,26347658.000000,179.000000
75004253.000000,409.000000,50.000000,352642.000000,238.000000,26700538.000000,185.000000
76004033.000000,341.000000,95.000000,356664.000000,228.000000,27057430.000000,163.000000
77000272.000000,555.000000,93.000000,355282.000000,331.000000,27413043.000000,296.000000
78000750.000000,657.000000,113.000000,355672.000000,401.000000,27769116.000000,454.000000
79003773.000000,616.000000,112.000000,357052.000000,377.000000,28126545.000000,450.000000
80002040.000000,583.000000,127.000000,354367.000000,364.000000,28481276.000000,358.000000
81003822.000000,657.000000,155.000000,356167.000000,420.000000,28837863.000000,472.000000
82001267.000000,648.000000,103.000000,353868.000000,387.000000,29192118.000000,410.000000
83006517.000000,633.000000,110.000000,357255.000000,384.000000,29549757.000000,447.000000
84006406.000000,474.000000,139.000000,355406.000000,318.000000,29905481.000000,329.000000
85001242.000000,543.000000,101.000000,353144.000000,332.000000,30258957.000000,322.000000
86003618.000000,570.000000,149.000000,356892.000000,368.000000,30616217.000000,366.000000
87001231.000000,755.000000,104.000000,353405.000000,449.000000,30970071.000000,470.000000
88001821.000000,690.000000,135.000000,351837.000000,425.000000,31322333.000000,534.000000
89000593.000000,523.000000,87.000000,352224.000000,315.000000,31674872.000000,345.000000
90002055.000000,435.000000,77.000000,350162.000000,270.000000,32025304.000000,252.000000
91004106.000000,709.000000,81.000000,353306.000000,404.000000,32379014.000000,463.000000
92003587.000000,494.000000,107.000000,349663.000000,314.000000,32728991.000000,335.000000
93003665.000000,552.000000,92.000000,352253.000000,332.000000,33081576.000000,325.000000
94006552.000000,517.000000,107.000000,354335.000000,322.000000,33436233.000000,325.000000
95010168.000000,493.000000,127.000000,352619.000000,328.000000,33789180.000000,308.000000
96000786.000000,581.000000,131.000000,348161.000000,372.000000,34137713.000000,349.000000
97000377.000000,686.000000,96.000000,350538.000000,408.000000,34488659.000000,454.000000
98001128.000000,643.000000,99.000000,352121.000000,383.000000,34841163.000000,453.000000
99000862.000000,665.000000,87.000000,351316.000000,386.000000,35192865.000000,467.000000
100000567.000000,680.000000,167.000000,353805.000000,446.000000,35547116.000000,478.000000
101001269.000000,634.000000,81.000000,354562.000000,369.000000,35902047.000000,414.000000
102001353.000000,598.000000,103.000000,351926.000000,361.000000,36254334.000000,405.000000
103005868.000000,554.000000,79.000000,347875.000000,333.000000,36602542.000000,357.000000
104000058.000000,598.000000,68.000000,349953.000000,346.000000,36952841.000000,402.000000
105000530.000000,814.000000,103.000000,353328.000000,478.000000,37306647.000000,547.000000
106002005.000000,762.000000,125.000000,352610.000000,459.000000,37659716.000000,583.000000
107000854.000000,601.000000,132.000000,350568.000000,390.000000,38010674.000000,415.000000
108000977.000000,541.000000,95.000000,351510.000000,331.000000,38362515.000000,363.000000
